window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|1,349283|5,943692|1,234136|1,337800|2,546771|6,741009|1,237007|1,353423|2,546771
2|2|0,927121|3,178867|1,262894|1,381894|2,340565|6,700243|1,261751|1,505547|2,340565
2|3|0,903793|3,143219|1,295397|1,420978|2,164732|6,682452|1,282413|1,601860|2,164732
2|4|0,858730|2,726749|1,304843|1,443930|2,214230|6,641001|1,304292|1,637876|2,214230
2|5|0,961856|3,813538|1,264025|1,398817|2,470401|6,668293|1,272573|1,498378|2,470401
2|6|1,167748|5,520837|1,312234|1,487961|2,752847|6,596526|1,319231|1,513347|2,752847
2|7|0,944039|3,926920|1,281440|1,428602|2,476796|6,627811|1,299449|1,545989|2,476796
2|8|1,166556|4,709521|1,291063|1,448143|2,574586|6,618118|1,305596|1,530322|2,574586
2|9|1,070202|3,513303|1,324092|1,479700|2,356679|6,630438|1,311448|1,632628|2,356679
2|10|1,104424|4,308284|1,287952|1,434508|2,447163|6,596727|1,325354|1,568478|2,447163
2|11|1,005603|4,750562|1,306365|1,464830|2,497979|6,587485|1,332906|1,586373|2,497979
2|12|1,099716|4,957266|1,281783|1,408637|2,273084|6,651319|1,295761|1,567778|2,273084
2|13|1,187862|6,409347|1,315200|1,493031|2,805755|6,602197|1,315325|1,493687|2,805755
2|14|1,229573|5,972897|1,282138|1,438203|2,665701|6,638434|1,289313|1,473934|2,665701
2|15|1,089788|5,453615|1,305890|1,462930|2,543487|6,592049|1,331115|1,562305|2,543487
2|16|1,266354|6,293147|1,314041|1,491744|2,794502|6,601003|1,315697|1,498069|2,794502
2|17|1,316208|6,675640|1,276221|1,423986|2,711254|6,663884|1,276237|1,423931|2,711254
2|18|1,272901|6,472459|1,268666|1,406433|2,630943|6,666843|1,276988|1,433376|2,630943
2|19|1,390600|6,500076|1,315877|1,493875|2,804692|6,600726|1,316540|1,495687|2,804692
2|20|1,445531|6,719416|1,317494|1,493152|2,803259|6,600415|1,319049|1,494221|2,803259
3|1|1,015270|4,272839|1,227257|1,312489|2,401929|6,738967|1,241469|1,393511|2,401929
3|2|0,911948|3,219604|1,255829|1,355292|2,284993|6,700546|1,264953|1,510618|2,284993
3|3|0,975866|3,743424|1,255078|1,371214|2,451422|6,682137|1,269703|1,467610|2,451422
3|4|0,983646|3,088566|1,343352|1,477620|2,005722|6,668582|1,302110|1,729022|2,005722
3|5|0,858698|3,105948|1,356800|1,539816|2,066626|6,734815|1,260724|1,717760|2,066626
3|6|1,174085|5,226579|1,280883|1,417496|2,536769|6,665335|1,285436|1,470287|2,536769
3|7|1,205395|5,768455|1,282411|1,425237|2,636760|6,635972|1,297359|1,472930|2,636760
3|8|0,966613|3,455014|1,329563|1,482130|2,288436|6,591831|1,341285|1,663689|2,288436
3|9|1,011926|4,152083|1,299224|1,451951|2,454454|6,619228|1,314387|1,558333|2,454454
3|10|0,976202|3,825305|1,301034|1,458076|2,426732|6,615786|1,315252|1,578479|2,426732
3|11|1,094125|4,699366|1,293186|1,431209|2,510380|6,607765|1,321028|1,544367|2,510380
3|12|1,194471|5,378658|1,353319|1,539406|2,633964|6,564841|1,359651|1,601400|2,633964
3|13|1,131504|5,540847|1,320536|1,496823|2,700896|6,580237|1,334843|1,547499|2,700896
3|14|1,340470|6,361009|1,340118|1,509584|2,693674|6,556676|1,360774|1,578017|2,693674
3|15|1,122629|5,319942|1,304496|1,465944|2,611601|6,614171|1,314572|1,523101|2,611601
3|16|1,532623|6,492815|1,334197|1,523683|2,845889|6,577619|1,333537|1,522563|2,845889
3|17|1,565064|6,416906|1,316104|1,492780|2,803429|6,600790|1,317324|1,494617|2,803429
3|18|1,290575|6,799030|1,268427|1,408938|2,691702|6,678091|1,268331|1,407842|2,691702
3|19|1,199412|5,851078|1,335594|1,502456|2,619498|6,558999|1,360086|1,595242|2,619498
3|20|1,436709|6,493522|1,317593|1,497948|2,809157|6,598867|1,317282|1,499228|2,809157
4|1|1,243591|5,540141|1,243178|1,351151|2,469763|6,737207|1,235131|1,395138|2,469763
4|2|0,797763|2,599380|1,318121|1,471742|2,093444|6,690022|1,265803|1,671112|2,093444
4|3|0,863511|3,570034|1,323035|1,476044|2,303484|6,615289|1,325850|1,630424|2,303484
4|4|0,943775|3,718769|1,269921|1,400833|2,492009|6,669626|1,275917|1,484917|2,492009
4|5|0,827821|2,977582|1,304689|1,451710|2,143048|6,683674|1,248342|1,674488|2,143048
4|6|0,817484|2,898437|1,331052|1,494260|2,134268|6,642019|1,298226|1,687733|2,134268
4|7|0,929143|3,630431|1,297783|1,423752|2,492412|6,661853|1,327893|1,529659|2,492412
4|8|0,854058|3,745746|1,320448|1,459055|2,232805|6,634950|1,322100|1,638348|2,232805
4|9|0,886541|3,679014|1,303869|1,457459|2,280906|6,623158|1,305407|1,629040|2,280906
4|10|1,028331|5,152163|1,370443|1,519492|2,591910|6,602955|1,407713|1,543667|2,591910
4|11|1,006526|4,616014|1,391984|1,536408|2,529080|6,589562|1,465943|1,556293|2,529080
4|12|1,012139|5,124856|1,360407|1,520003|2,546105|6,555097|1,399159|1,610445|2,546105
4|13|1,022094|4,649984|1,372474|1,466909|2,523729|6,614600|1,430439|1,554201|2,523729
4|14|1,414571|5,851096|1,301445|1,468368|2,768620|6,609149|1,311379|1,485439|2,768620
4|15|0,960816|5,016806|1,339591|1,481616|2,621858|6,587816|1,382854|1,541999|2,621858
4|16|1,114447|5,815646|1,313408|1,467314|2,720295|6,603620|1,342044|1,493134|2,720295
4|17|1,133313|5,875176|1,326696|1,515054|2,770045|6,582630|1,324534|1,538002|2,770045
4|18|1,274229|6,329765|1,302228|1,466721|2,747715|6,617785|1,307986|1,480428|2,747715
4|19|1,164101|5,049796|1,300094|1,460539|2,673124|6,624643|1,304126|1,502507|2,673124
4|20|1,110922|6,263199|1,243810|1,361410|2,594178|6,717640|1,243761|1,376347|2,594178
5|1|1,076581|4,527848|1,240402|1,347955|2,509130|6,743181|1,234590|1,387259|2,509130
5|2|0,809408|2,457072|1,501036|1,636868|1,515522|6,786083|1,306657|2,025586|1,515522
5|3|0,828907|2,716979|1,325664|1,461057|2,157103|6,672299|1,292337|1,660744|2,157103
5|4|0,846408|3,937910|1,319970|1,479713|2,185690|6,643231|1,305760|1,642630|2,185690
5|5|0,936875|4,104714|1,299911|1,531845|2,647733|6,611647|1,266272|1,598351|2,647733
5|6|1,163108|5,499368|1,315207|1,464107|2,649736|6,624235|1,319782|1,487557|2,649736
5|7|0,852880|3,052928|1,300749|1,373299|1,980985|6,725978|1,269478|1,634093|1,980985
5|8|0,964820|4,287256|1,293605|1,396505|2,510687|6,654019|1,316970|1,475131|2,510687
5|9|0,861127|3,083376|1,336250|1,430646|2,152826|6,669580|1,316829|1,643346|2,152826
5|10|1,035648|4,942659|1,404480|1,432709|2,423995|6,616204|1,481999|1,544974|2,423995
5|11|0,879443|3,875723|1,317564|1,464326|2,394189|6,593972|1,342167|1,612892|2,394189
5|12|0,962524|3,979791|1,297497|1,408114|2,461445|6,645654|1,305617|1,503937|2,461445
5|13|1,092358|4,965236|1,380465|1,520404|2,624359|6,557321|1,438511|1,576394|2,624359
5|14|1,165849|5,642184|1,295386|1,472176|2,742687|6,607388|1,302568|1,510410|2,742687
5|15|0,927859|3,367869|1,288564|1,388323|2,436253|6,661863|1,321684|1,496585|2,436253
5|16|1,246842|5,734990|1,499937|1,419967|2,245703|6,606982|1,595013|1,586205|2,245703
5|17|1,252468|6,303833|1,290981|1,411110|2,527890|6,695174|1,279068|1,414761|2,527890
5|18|0,954653|4,626010|1,551606|1,616082|2,335656|6,557532|1,718229|1,721371|2,335656
5|19|1,167766|4,445371|1,461496|1,539408|2,393251|6,613489|1,493343|1,624873|2,393251
5|20|1,372713|5,988792|1,361790|1,521572|2,775127|6,560692|1,403663|1,535847|2,775127
6|1|1,084396|4,878200|1,231886|1,311916|2,416955|6,754847|1,238187|1,352923|2,416955
6|2|0,852932|3,130366|1,320593|1,431723|2,170438|6,652272|1,305371|1,588387|2,170438
6|3|0,830819|2,369219|1,309374|1,390035|2,023405|6,744849|1,267943|1,586366|2,023405
6|4|0,826194|2,888202|1,434380|1,530708|1,817552|6,675185|1,360747|1,695547|1,817552
6|5|0,886208|3,532077|1,311965|1,420929|2,279614|6,632968|1,332468|1,513213|2,279614
6|6|0,829846|3,595099|1,361536|1,458864|2,281565|6,603463|1,379347|1,544642|2,281565
6|7|0,868846|3,553134|1,345226|1,452088|2,327730|6,621287|1,364461|1,568735|2,327730
6|8|0,932402|3,903103|1,298866|1,417352|2,386977|6,643540|1,302481|1,508454|2,386977
6|9|0,837129|3,536189|1,396444|1,453998|2,319594|6,584256|1,474603|1,588055|2,319594
6|10|0,825450|3,331629|1,395302|1,445341|1,828284|6,729902|1,372946|1,668210|1,828284
6|11|0,878721|3,873722|1,295311|1,420469|2,495211|6,602818|1,335288|1,514965|2,495211
6|12|1,033786|5,063232|1,311100|1,423422|2,520858|6,596015|1,348631|1,490467|2,520858
6|13|0,895553|3,817863|1,320939|1,442917|2,403751|6,614655|1,346485|1,580966|2,403751
6|14|0,927359|4,507076|1,319781|1,455217|2,534370|6,599994|1,339067|1,541133|2,534370
6|15|0,904639|4,444608|1,377998|1,446472|2,360269|6,587008|1,412382|1,570079|2,360269
6|16|0,928178|4,348612|1,418274|1,507457|2,567813|6,573087|1,472065|1,573655|2,567813
6|17|1,050838|5,702379|1,307177|1,483413|2,746000|6,590968|1,319139|1,514241|2,746000
6|18|1,082804|5,277565|1,312006|1,472916|2,668971|6,584592|1,334628|1,526239|2,668971
6|19|0,913604|3,893986|1,290307|1,490394|2,720544|6,608019|1,284990|1,551042|2,720544
6|20|1,016520|4,521850|1,332974|1,474461|2,531374|6,607599|1,329491|1,559340|2,531374
7|1|1,151373|5,415911|1,224947|1,316333|2,477310|6,745623|1,235615|1,346655|2,477310
7|2|0,853915|3,241895|1,343973|1,384361|2,371371|6,673866|1,398758|1,530194|2,371371
7|3|0,821668|3,064215|1,286108|1,412109|2,357414|6,650147|1,297934|1,521015|2,357414
7|4|0,798451|2,730249|1,374555|1,482971|2,115260|6,710809|1,327940|1,777282|2,115260
7|5|0,843569|2,935612|1,357152|1,529274|2,325423|6,632326|1,306907|1,677096|2,325423
7|6|0,903583|4,068042|1,301410|1,397058|2,379651|6,633578|1,334259|1,476052|2,379651
7|7|0,897819|3,933822|1,292440|1,434616|2,484810|6,647922|1,290509|1,507427|2,484810
7|8|0,985039|4,340531|1,301453|1,416378|2,530700|6,635497|1,317476|1,491001|2,530700
7|9|0,968918|4,250642|1,282857|1,423625|2,592408|6,647310|1,294529|1,485638|2,592408
7|10|0,881965|3,690996|1,295024|1,438542|2,511514|6,632010|1,302486|1,527724|2,511514
7|11|0,891762|3,536921|1,317479|1,452121|2,429510|6,607831|1,340658|1,602070|2,429510
7|12|0,887014|3,558140|1,310109|1,406263|2,283013|6,621072|1,349710|1,605233|2,283013
7|13|0,954035|4,214388|1,294832|1,452333|2,616326|6,624095|1,304387|1,509141|2,616326
7|14|0,937400|4,188659|1,348078|1,477471|2,368037|6,611778|1,353198|1,631470|2,368037
7|15|0,988202|4,997585|1,343690|1,484976|2,659867|6,583038|1,366797|1,527837|2,659867
7|16|0,864443|3,056539|1,282259|1,392827|2,375723|6,657569|1,298228|1,528813|2,375723
7|17|1,043079|4,523375|1,342030|1,485993|2,526603|6,591137|1,345805|1,586900|2,526603
7|18|0,967449|4,674037|1,318938|1,477326|2,719708|6,603999|1,333750|1,535260|2,719708
7|19|0,961174|4,019377|1,530326|1,598649|2,230229|6,595741|1,543238|1,830496|2,230229
7|20|1,031418|4,786219|1,349877|1,503897|2,699517|6,573877|1,375650|1,557625|2,699517
8|1|1,247029|5,405129|1,251841|1,335097|2,545064|6,740331|1,253439|1,359610|2,545064
8|2|0,820226|2,861879|1,427103|1,596539|1,916764|6,716098|1,296699|1,821919|1,916764
8|3|0,825724|3,481849|1,368970|1,463464|2,230409|6,618998|1,372814|1,647855|2,230409
8|4|0,821980|2,672696|1,318106|1,420007|2,017164|6,711187|1,283840|1,641581|2,017164
8|5|0,977146|3,956153|1,255876|1,394593|2,396123|6,665373|1,251648|1,500936|2,396123
8|6|0,809946|3,373003|1,333964|1,505802|2,401029|6,644548|1,314102|1,654739|2,401029
8|7|0,941132|4,154564|1,324236|1,449909|2,389084|6,628704|1,382562|1,635726|2,389084
8|8|0,821818|3,011838|1,316474|1,457847|1,971167|6,813792|1,204226|1,668679|1,971167
8|9|0,936673|4,238469|1,385530|1,485533|2,271458|6,635203|1,413194|1,761866|2,271458
8|10|0,886495|3,748546|1,339333|1,537470|2,440607|6,626652|1,330344|1,663215|2,440607
