rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0|0|2.0|196,140769|31,081520|34,512828|35,052284|36,733625|29,390690|35,265600|35,921351|36,733625
0,05|0|2.0|0,922568|4,084476|1,381471|1,610806|2,895586|6,368416|1,267688|1,506149|2,895586
0,1|0|2.0|0,884943|4,452811|1,484099|1,770569|2,871143|6,645276|1,412375|1,604694|2,871143
0,15|0|2.0|0,872997|3,702016|1,330456|1,391584|2,360497|9,929138|1,246059|1,392622|2,360497
0,2|0|2.0|1,037809|4,127589|1,296817|1,252460|2,079498|4,824243|1,282610|1,102647|2,079498
0,25|0|2.0|1,092774|4,972173|1,273540|1,243878|2,071915|7,150188|1,271672|1,156339|2,071915
0,3|0|2.0|1,094411|5,953246|1,232291|1,239857|2,219754|16,997976|1,233584|1,262781|2,219754
0,35|0|2.0|1,268809|3,347274|1,250866|1,015617|1,876828|8,161876|1,317869|0,955116|1,876828
0,4|0|2.0|1,218730|5,831000|1,274299|1,277761|2,209838|7,067588|1,232786|1,161902|2,209838
0,45|0|2.0|1,542977|5,816746|1,407921|1,639810|3,042631|8,026535|1,256486|1,455179|3,042631
0,5|0|2.0|0,944402|5,259106|1,296366|1,419544|2,505214|14,592630|1,227339|1,322942|2,505214
0,55|0|2.0|1,280316|5,827205|1,363793|1,554387|2,511504|8,003291|1,315425|1,420879|2,511504
0,6|0|2.0|2,087508|6,084958|1,213390|1,149545|2,115310|6,936050|1,214896|1,166343|2,115310
0,65|0|2.0|0,965247|6,037053|1,284443|1,356177|2,316835|15,066153|1,241553|1,244447|2,316835
0,7|0|2.0|1,153842|6,224697|1,277261|1,165959|1,937553|6,452663|1,279289|1,097911|1,937553
0,75|0|2.0|1,032371|6,230626|1,263118|1,401255|2,663982|6,542348|1,228281|1,341611|2,663982
0,8|0|2.0|1,534328|6,178216|1,238686|1,256365|2,296673|6,650635|1,203831|1,177165|2,296673
0,85|0|2.0|0,981538|5,491938|1,220540|1,297047|2,535253|7,340689|1,192673|1,255762|2,535253
0,9|0|2.0|0,947431|5,183119|1,198405|1,051851|2,085724|6,756144|1,190168|1,010512|2,085724
0,95|0|2.0|0,921239|4,909439|1,312269|1,496505|2,801434|6,466560|1,285584|1,470428|2,801434
1|0|2.0|0,930555|4,778950|1,343525|1,559103|2,862496|6,404890|1,278420|1,502811|2,862496
1,05|0|2.0|2,046139|5,759119|1,196504|1,168387|2,231429|6,549010|1,208692|1,204416|2,231429
1,1|0|2.0|1,582135|6,613561|1,199844|1,218936|2,341440|7,740443|1,204768|1,239702|2,341440
1,15|0|2.0|0,990019|5,517565|1,257418|1,164529|1,975968|8,580034|1,268678|1,100483|1,975968
1,2|0|2.0|1,996260|6,703184|1,323928|1,498803|2,940469|6,239583|1,203780|1,303926|2,940469
1,25|0|2.0|1,835955|5,213664|1,180597|1,118148|2,202045|8,096002|1,179319|1,112615|2,202045
1,3|0|2.0|2,229503|6,499432|1,182849|1,182426|2,351308|7,209143|1,179019|1,169806|2,351308
1,35|0|2.0|1,516215|6,309782|1,181062|1,148535|2,277665|8,277822|1,177825|1,136681|2,277665
1,4|0|2.0|1,811018|5,857928|1,203829|1,244161|2,423945|8,276597|1,192166|1,229186|2,423945
1,45|0|2.0|3,696182|7,618778|1,225142|1,090812|1,915262|9,042326|1,260747|1,200533|1,915262
1,5|0|2.0|1,549182|6,523863|1,218492|1,297745|2,508946|6,792431|1,213896|1,291963|2,508946
1,55|0|2.0|2,205290|6,514901|1,240996|1,344084|2,571640|6,902458|1,241648|1,356642|2,571640
1,6|0|2.0|3,176524|6,622576|1,217236|1,251595|2,342045|8,078573|1,240795|1,325954|2,342045
1,65|0|2.0|1,484348|6,513078|1,195748|1,229120|2,417433|7,001452|1,187937|1,215534|2,417433
1,7|0|2.0|1,776624|6,212360|1,256383|1,385857|2,657474|8,013108|1,255481|1,384054|2,657474
1,75|0|2.0|1,796628|6,531400|1,327219|1,075705|1,557487|4,649008|1,375580|1,187815|1,557487
