window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|1,095336|10,878610|13,772808|14,491877|15,536234|22,675383|28,321954|25,464960|15,536234
2|2|1,806525|7,990350|10,250747|11,001969|12,009564|21,028924|24,589651|20,725858|12,009564
2|3|0,975758|13,820120|14,786032|15,750898|16,464023|23,036480|29,918219|28,359133|16,464023
2|4|0,889982|15,753754|19,342654|20,150758|21,074751|22,985339|30,688231|29,735826|21,074751
2|5|0,922710|7,476456|7,943138|8,627916|8,871762|22,865874|27,637239|24,027152|8,871762
2|6|1,694288|22,760851|32,113412|32,648244|34,291164|22,934941|32,464093|32,957674|34,291164
2|7|1,227773|21,277397|29,548170|30,145727|31,738879|22,806546|31,941544|32,139914|31,738879
2|8|1,133582|22,867384|32,367552|32,895616|34,575872|22,845414|32,403378|32,922626|34,575872
2|9|0,869601|17,064153|22,037752|22,770719|23,769225|22,625047|30,855579|30,370503|23,769225
2|10|0,944857|15,729030|19,511064|20,371897|21,644658|22,493541|29,972667|28,873417|21,644658
2|11|0,889359|12,025343|15,618774|16,369108|17,773845|22,006017|27,754897|25,063139|17,773845
2|12|0,889126|20,677594|28,580355|29,186016|30,592171|22,793661|31,906730|32,101961|30,592171
2|13|1,064784|17,648698|22,747694|23,565274|24,963969|22,394273|30,470431|29,902907|24,963969
2|14|0,888985|14,293234|16,484487|17,386103|18,170305|22,312386|29,597968|28,415333|18,170305
2|15|0,976015|16,739500|20,706821|21,584470|22,675365|22,334199|30,281426|29,657236|22,675365
2|16|1,132814|16,587502|20,373494|21,277659|22,436795|22,284952|30,122778|29,419431|22,436795
2|17|1,366033|16,968219|21,507518|22,348854|23,667546|22,361371|30,269406|29,569488|23,667546
2|18|0,910954|20,347028|27,793416|28,456910|29,904119|22,597687|31,562547|31,678431|29,904119
2|19|0,900382|19,114342|25,745563|26,454013|27,900209|22,480611|31,086891|30,922195|27,900209
2|20|2,283131|22,400128|31,668435|32,207427|33,835818|22,613787|32,102129|32,591155|33,835818
3|1|1,231346|9,942333|8,501673|9,354115|9,312958|22,409001|28,341779|26,168814|9,312958
3|2|0,727393|9,397419|7,761408|8,616943|9,016837|22,576344|25,770328|21,008477|9,016837
3|3|1,563573|22,085705|31,060616|31,618084|33,247185|22,711913|32,030139|32,362257|33,247185
3|4|0,957541|12,731402|11,625750|12,648608|13,209169|22,982238|28,275996|25,226747|13,209169
3|5|0,897398|13,884106|14,429912|15,476729|16,753442|23,041784|27,431328|23,277773|16,753442
3|6|1,147083|23,325795|32,570558|33,169683|34,948029|22,651317|31,466421|31,363822|34,948029
3|7|0,997604|18,113463|22,832100|23,697536|24,952111|22,834104|30,413863|29,301110|24,952111
3|8|1,283102|21,919783|30,729290|31,296535|32,897755|22,840427|32,134980|32,438495|32,897755
3|9|0,920171|15,775794|17,974064|19,057796|20,767433|22,851830|28,014108|24,491011|20,767433
3|10|1,176435|18,213404|23,905677|24,649348|25,988453|22,713400|30,678032|29,872290|25,988453
3|11|1,198307|19,855228|26,299854|27,064651|28,481913|22,833245|31,308784|30,987015|28,481913
3|12|1,131089|15,408612|17,258592|18,330137|19,640215|22,608385|28,473139|25,817115|19,640215
3|13|1,105197|18,049395|23,359720|24,216103|25,933738|22,404243|29,419201|27,811364|25,933738
3|14|1,005488|13,830513|14,739753|15,756813|16,719571|22,436944|28,403178|25,939059|16,719571
3|15|1,942795|22,718831|32,236316|32,759161|34,444635|22,736241|32,280953|32,792357|34,444635
3|16|1,476334|16,525758|20,349102|21,257186|22,468346|22,158298|29,593208|28,460660|22,468346
3|17|0,888704|13,259809|15,336604|16,234774|17,374649|22,469002|28,243658|25,555550|17,374649
3|18|1,904998|17,928546|23,695129|24,444470|25,845967|22,138278|29,666700|28,528161|25,845967
3|19|1,119978|16,863085|21,721009|22,521637|23,854809|22,202992|29,805829|28,754220|23,854809
3|20|2,129916|20,622985|28,474473|29,110251|30,679443|22,382057|31,177796|31,116985|30,679443
4|1|1,393326|9,105726|3,698844|4,775153|4,258103|23,316391|16,127635|11,617060|4,258103
4|2|1,113891|11,989977|7,250294|8,668623|8,071232|23,002201|24,071881|19,066192|8,071232
4|3|0,825918|9,098271|6,673402|7,631330|8,040756|23,355413|22,560355|16,031901|8,040756
4|4|1,044240|21,826856|30,326399|30,955646|32,506307|23,021912|31,856869|31,822607|32,506307
4|5|0,855875|10,848207|11,229215|12,436631|13,083372|22,852873|22,992520|17,129165|13,083372
4|6|0,830379|11,149089|9,810568|11,016164|11,505573|22,573057|24,394218|18,453616|11,505573
4|7|1,177151|22,998586|32,231208|32,818043|34,460582|22,952190|32,186528|32,473916|34,460582
4|8|0,972654|9,628582|7,219496|8,298568|8,983459|22,693436|22,965032|15,988333|8,983459
4|9|0,978135|16,345542|18,801233|20,115114|20,901241|22,804249|26,762489|23,188272|20,901241
