indicators|argument|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
sma|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
sma|1|1,097700|5,496793|1,505972|1,745068|3,281635|6,600311|1,417113|1,622315|3,281635
sma|2|1,332861|6,423376|1,328382|1,488374|2,840101|6,595304|1,347673|1,484413|2,840101
sma|3|1,066755|5,337272|1,325911|1,492481|2,850661|6,609476|1,336132|1,498805|2,850661
sma|4|1,204953|5,547025|1,377143|1,575217|3,012550|6,537355|1,390271|1,570671|3,012550
sma|5|1,072703|4,592291|1,415005|1,644783|2,984336|6,504847|1,397565|1,668473|2,984336
sma|6|1,348155|6,121284|1,293121|1,455994|2,742165|6,637293|1,289429|1,459679|2,742165
sma|7|1,280842|5,676733|1,440875|1,653991|3,008257|6,495672|1,425186|1,644559|3,008257
sma|8|1,298388|6,073927|1,346182|1,510967|2,920559|6,563991|1,378927|1,518617|2,920559
sma|9|1,106913|5,600827|1,292532|1,450788|2,787619|6,623414|1,303665|1,470573|2,787619
sma|10|0,970769|6,082309|1,312654|1,476521|2,822332|6,611924|1,320649|1,467882|2,822332
sma|11|1,245035|6,334142|1,423975|1,686804|2,942979|6,529575|1,392027|1,689365|2,942979
sma|12|1,135963|5,385542|1,375767|1,614347|2,927250|6,539821|1,372344|1,637342|2,927250
sma|13|1,017055|3,876261|1,377401|1,641987|2,900874|6,586896|1,368079|1,789808|2,900874
sma|14|0,991663|4,507927|1,367931|1,611698|3,017349|6,587637|1,399022|1,804194|3,017349
sma|15|1,159567|5,685578|1,445133|1,674852|3,121914|6,536146|1,430343|1,650289|3,121914
sma|16|1,121685|5,470017|1,656316|2,132167|3,430461|6,573509|1,844661|2,661106|3,430461
sma|17|1,222307|6,629948|1,332647|1,555763|2,884415|6,617095|1,328963|1,570459|2,884415
sma|18|0,899238|3,550790|1,308548|1,483511|2,848536|6,661983|1,276638|1,549137|2,848536
sma|19|1,131772|5,874872|1,313251|1,485816|2,799659|6,602657|1,313702|1,483872|2,799659
sma|20|1,089660|5,370026|1,518982|1,860979|2,984770|6,491362|1,467179|2,000837|2,984770
sma|21|1,152873|5,168514|1,333116|1,561233|2,829097|6,553215|1,325606|1,622664|2,829097
sma|22|1,413831|6,092374|1,471678|1,818360|3,281603|6,391667|1,503398|2,048447|3,281603
sma|23|1,258411|5,590698|1,377010|1,643352|3,007031|6,485933|1,367421|1,722579|3,007031
sma|24|1,035880|5,353081|1,421047|1,710235|3,243280|6,453604|1,401535|1,836159|3,243280
sma|25|1,090310|4,279157|1,319248|1,489120|2,639919|6,598285|1,260800|1,539870|2,639919
sma|26|0,994070|3,775438|1,368082|1,556558|2,840479|6,570098|1,267014|1,656720|2,840479
sma|27|0,964606|4,219491|1,331176|1,503619|2,874169|6,518966|1,263952|1,634997|2,874169
sma|28|1,193863|4,371200|1,271666|1,323851|2,646156|6,640047|1,231283|1,445015|2,646156
sma|29|0,957141|4,446420|1,347910|1,554458|2,952738|6,616970|1,291591|1,595197|2,952738
wma|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
wma|1|1,061253|6,220853|1,283986|1,434711|2,713286|6,646968|1,290730|1,443548|2,713286
wma|2|1,132396|3,747297|1,315112|1,507750|2,767716|6,648420|1,269639|1,553515|2,767716
wma|3|0,860258|3,643783|1,398436|1,599003|2,715556|6,955466|1,207646|1,713993|2,715556
wma|4|0,962431|3,425794|1,298667|1,470703|2,761677|6,698058|1,242280|1,567961|2,761677
wma|5|1,034714|4,775936|1,256098|1,397907|2,682710|6,692088|1,242492|1,445985|2,682710
wma|6|0,974342|4,431078|1,368821|1,598586|2,781015|6,621241|1,311328|1,585607|2,781015
wma|7|0,922670|4,252055|1,352624|1,570515|2,865415|6,663362|1,271445|1,599258|2,865415
wma|8|0,950335|3,475933|1,274966|1,420242|2,686892|6,722239|1,230368|1,509099|2,686892
wma|9|0,956785|3,508375|1,294912|1,446848|2,620182|6,754314|1,224548|1,516651|2,620182
wma|10|1,333096|5,415690|1,423279|1,638718|3,054543|6,566021|1,400110|1,525038|3,054543
wma|11|0,980944|3,936637|1,303120|1,484484|2,715217|6,659604|1,259938|1,531536|2,715217
wma|12|0,905177|3,532554|1,366441|1,587970|2,829588|6,668414|1,278385|1,610678|2,829588
wma|13|1,070270|3,521877|1,275833|1,418524|2,637551|6,733300|1,225297|1,485357|2,637551
wma|14|0,993442|3,719533|1,347246|1,555983|2,783535|6,694277|1,256758|1,595710|2,783535
wma|15|0,934254|3,872549|1,346444|1,560086|2,859665|6,621199|1,295012|1,590553|2,859665
wma|16|0,868178|3,867676|1,405276|1,615959|2,829615|6,830710|1,205886|1,713005|2,829615
wma|17|1,370570|5,549396|1,299745|1,474133|2,735891|6,630933|1,284587|1,487688|2,735891
wma|18|0,893415|4,333772|1,336651|1,524207|2,859936|6,626871|1,305975|1,556313|2,859936
wma|19|0,968064|4,387826|1,346847|1,560734|2,752427|6,632078|1,293339|1,557127|2,752427
wma|20|1,077860|4,128350|1,414495|1,670960|2,954732|6,586521|1,339027|1,634864|2,954732
wma|21|1,200751|5,078850|1,522220|1,690453|3,189215|6,562739|1,519295|1,608789|3,189215
