rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0|0|2.0|479,197907|62,323799|48,240724|47,639722|46,178037|46,465412|31,538086|34,255463|46,178037
0,05|0|2.0|1,423077|3,222841|1,452025|1,757617|2,810288|26,795392|1,883909|3,066914|2,810288
0,1|0|2.0|1,809727|7,132011|4,261952|5,062606|5,949032|13,897474|12,152531|10,600057|5,949032
0,15|0|2.0|1,565044|3,933816|2,404907|2,970539|4,083658|19,199399|6,307007|6,350655|4,083658
0,2|0|2.0|1,867264|7,647654|2,907869|3,646727|4,171612|19,477035|10,883730|9,543676|4,171612
0,25|0|2.0|1,624802|5,210907|3,218331|3,892120|4,249427|21,166227|12,415042|12,408415|4,249427
0,3|0|2.0|1,662466|7,632113|3,434514|4,264550|4,354108|16,977905|13,597678|13,474375|4,354108
0,35|0|2.0|1,723372|8,570229|2,387730|3,084365|2,961717|17,100603|12,052038|12,238218|2,961717
0,4|0|2.0|1,769114|6,944603|6,423371|7,115260|7,930919|14,161228|14,409666|15,281047|7,930919
0,45|0|2.0|1,872581|10,780574|13,612072|14,212874|15,565461|12,211831|15,884862|16,678377|15,565461
0,5|0|2.0|1,964019|12,445589|15,674581|16,204750|17,731552|12,457735|15,821871|16,480527|17,731552
0,55|0|2.0|1,835837|12,691615|14,792388|15,404968|16,694061|12,015337|15,761281|17,146825|16,694061
0,6|0|2.0|2,027127|11,908210|14,056562|14,645141|16,029841|12,352821|15,396433|15,786163|16,029841
0,65|0|2.0|1,956245|12,636374|15,250181|15,791112|17,262802|12,847720|15,619679|16,621349|17,262802
0,7|0|2.0|1,957712|8,959827|10,352812|10,880005|12,967176|10,187134|11,875567|11,310673|12,967176
0,75|0|2.0|2,099518|11,046124|11,466755|12,139622|13,282007|12,401678|14,880957|15,602477|13,282007
0,8|0|2.0|1,824184|10,654396|8,010660|8,867107|9,464498|14,800139|14,494478|15,852114|9,464498
0,85|0|2.0|2,083632|6,130328|5,518435|6,132742|7,385467|11,908280|10,476743|9,684389|7,385467
0,9|0|2.0|2,397543|11,753067|15,200716|15,739318|17,332936|12,467457|15,779502|16,160321|17,332936
0,95|0|2.0|1,778868|9,620398|4,452340|5,400338|5,138035|16,091622|14,095356|14,077727|5,138035
1|0|2.0|2,521037|12,441543|13,897919|14,542139|15,737209|12,533031|15,534254|16,675512|15,737209
1,05|0|2.0|1,973114|10,024332|10,028761|10,754892|11,978444|15,355740|14,830171|15,462742|11,978444
1,1|0|2.0|1,653834|8,467752|4,712685|5,611278|5,979889|14,772861|13,671793|13,397357|5,979889
1,15|0|2.0|1,978687|8,917494|10,014834|10,733245|11,866695|11,729070|13,778425|12,812692|11,866695
1,2|0|2.0|2,300358|12,822517|15,062623|15,634817|17,066067|12,122796|15,577171|16,858730|17,066067
1,25|0|2.0|2,387067|11,640776|15,091445|15,613985|17,289567|12,144666|15,859539|16,356185|17,289567
1,3|0|2.0|1,731223|8,760320|5,761275|6,572387|7,441747|15,698939|13,653969|13,191248|7,441747
1,35|0|2.0|1,848317|10,137061|13,201184|13,666352|15,651967|10,819732|13,234620|12,958806|15,651967
1,4|0|2.0|2,459931|12,201983|16,472971|16,966555|18,705291|11,235389|15,969164|16,230167|18,705291
1,45|0|2.0|1,739041|9,319397|9,255160|9,893716|11,277780|13,366220|13,433154|13,128339|11,277780
1,5|0|2.0|2,146820|11,024738|14,133225|14,553099|16,795227|15,200534|13,567989|13,681790|16,795227
1,55|0|2.0|2,244999|11,472836|10,511794|11,336541|11,968092|13,284674|15,849912|16,925105|11,968092
1,6|0|2.0|1,835465|11,999917|14,196153|14,748123|16,253062|12,815360|14,963986|15,429949|16,253062
1,65|0|2.0|1,891037|11,207878|14,694619|15,159513|17,097779|10,823043|14,232041|14,262651|17,097779
1,7|0|2.0|1,930621|8,895924|5,415199|6,308169|6,869146|16,052575|14,140766|16,211779|6,869146
1,75|0|2.0|2,096018|11,094763|11,381235|12,090404|13,285181|12,881687|15,455265|16,406815|13,285181
1,8|0|2.0|2,264613|12,207320|16,340313|16,849925|18,528770|12,155100|16,300653|16,784955|18,528770
1,85|0|2.0|1,937610|11,885505|13,937750|14,525599|15,969700|12,702365|15,369917|15,888437|15,969700
1,9|0|2.0|1,979318|11,699634|15,334120|15,812917|17,622835|11,328131|14,771120|14,830517|17,622835
1,95|0|2.0|2,043564|11,136992|13,558652|14,156338|15,547709|12,453763|15,563605|15,935668|15,547709
2|0|2.0|1,824637|8,401084|6,615807|7,506493|7,966881|12,381627|14,068034|13,519056|7,966881
2,05|0|2.0|1,893965|9,020204|5,528119|6,403525|6,744344|12,196416|13,797359|13,355111|6,744344
2,1|0|2.0|2,240151|10,511971|12,773648|13,322502|14,889806|12,676462|13,933594|13,871562|14,889806
2,15|0|2.0|2,099343|10,565089|13,657090|14,202887|15,846695|13,113398|14,311949|13,908989|15,846695
2,2|0|2.0|1,904478|12,267652|15,058576|15,604844|17,106039|12,730653|15,505450|16,050600|17,106039
2,25|0|2.0|2,595013|12,386744|14,292276|14,924802|16,133735|12,278635|15,710327|17,278163|16,133735
2,3|0|2.0|2,057175|10,246402|13,600513|14,128727|15,926618|12,039967|13,562616|13,922048|15,926618
2,35|0|2.0|1,857430|6,189401|4,997323|5,643961|7,096655|11,621531|8,649672|7,610712|7,096655
