window|hide layer|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|2,022423|8,239248|9,819087|10,423285|11,763756|11,974509|14,296059|14,143306|11,763756
2|2|1,840107|4,979085|5,421523|5,993494|6,720291|11,893320|12,536604|11,507450|6,720291
2|3|1,770470|5,457815|6,377919|6,933032|7,513499|11,988398|13,790993|13,109540|7,513499
2|4|1,555579|4,791924|6,818734|7,337603|8,030805|11,938164|13,900494|13,662769|8,030805
2|5|1,478094|4,559246|6,504141|7,028086|7,734516|11,930722|13,750155|13,407590|7,734516
2|6|1,696287|4,814975|5,070345|5,649428|6,255912|11,910081|12,660685|11,592442|6,255912
2|7|1,515499|5,864079|7,856690|8,374344|9,015047|12,035322|14,932600|15,077117|9,015047
2|8|1,854802|8,237601|10,596372|11,104429|11,968442|12,121005|15,514882|15,721097|11,968442
2|9|1,508492|4,171825|6,034450|6,550332|7,235194|11,881429|12,859481|12,348122|7,235194
2|10|1,663333|6,777419|9,937295|10,441736|11,370685|12,066983|15,251004|15,491566|11,370685
2|11|1,673622|5,084395|5,387478|5,960555|6,394860|11,966787|13,644571|12,896338|6,394860
2|12|1,679147|5,694573|5,807084|6,376229|6,841396|11,941261|13,610794|13,012307|6,841396
2|13|1,620199|4,774715|4,495669|5,074812|5,465976|11,911222|12,709680|11,588179|5,465976
2|14|1,676403|5,465469|5,784064|6,345958|6,767367|12,019756|13,918447|13,137852|6,767367
2|15|1,671020|4,467476|4,313747|4,874493|5,206646|11,874093|12,338228|11,258447|5,206646
3|1|1,988222|7,603642|9,408568|9,974115|10,812164|12,180412|16,073246|17,021958|10,812164
3|2|1,622519|5,598401|6,430095|6,998467|7,640454|12,008555|14,229562|13,761914|7,640454
3|3|1,755863|6,362685|7,448197|8,001840|8,502864|12,112089|15,174930|15,145106|8,502864
3|4|1,506240|4,771896|6,511644|7,058562|7,724836|12,134654|16,790886|16,749805|7,724836
3|5|1,504663|4,555865|6,515697|7,050873|7,795518|12,042509|15,835983|15,520572|7,795518
3|6|1,500834|4,811600|6,866659|7,405372|8,167142|12,112834|16,767884|16,631169|8,167142
3|7|1,544170|6,791885|8,975048|9,512392|10,223804|12,239571|17,070640|19,272051|10,223804
3|8|1,522589|4,953203|6,435794|6,991273|7,623449|12,105741|16,098015|16,222436|7,623449
3|9|1,511435|4,197510|5,979825|6,516873|7,241974|11,948957|14,306730|13,915740|7,241974
3|10|1,521430|5,338345|7,901090|8,437002|9,266765|12,201525|17,752309|18,464512|9,266765
3|11|1,655933|4,950507|5,156426|5,742121|6,124299|12,034246|14,455172|13,799673|6,124299
3|12|1,569026|3,302799|1,920775|2,343012|2,589812|12,812934|4,958974|5,234306|2,589812
3|13|1,674047|5,209315|6,032116|6,594024|6,989941|12,092131|15,030919|14,739415|6,989941
3|14|1,531133|5,102989|7,062762|7,609821|8,303106|12,204772|17,573444|18,051893|8,303106
3|15|1,512942|4,152678|5,999961|6,534345|7,333384|11,939506|13,911337|13,530687|7,333384
4|1|2,030877|9,652861|11,590307|12,139517|13,406320|12,012294|15,412602|16,285013|13,406320
4|2|1,666756|5,245248|5,646277|6,137471|6,444146|12,188073|16,063925|15,552415|6,444146
4|3|1,494933|4,344406|6,506938|6,933624|7,861772|12,000769|16,178073|15,195883|7,861772
4|4|1,528852|5,400528|7,683012|8,356525|8,900991|12,475457|18,672135|18,897521|8,900991
4|5|1,503855|4,585557|6,427001|6,863679|7,718712|12,139996|18,293923|16,794786|7,718712
4|6|1,518706|5,197831|7,282763|7,735618|8,633227|12,196395|19,430330|18,795991|8,633227
4|7|1,739457|7,202529|8,870167|9,342670|10,071416|12,175798|16,661237|18,159032|10,071416
4|8|1,771525|5,908515|7,154245|7,610731|8,314612|12,052799|15,205349|15,057220|8,314612
4|9|1,622321|4,314462|4,030723|4,515555|5,115856|11,843379|10,835968|10,014815|5,115856
4|10|1,488111|5,228370|7,488267|7,924161|8,848148|12,236100|18,787550|18,494346|8,848148
4|11|1,592312|5,050346|7,958503|8,390534|9,395453|12,082343|17,348040|16,854901|9,395453
4|12|1,763325|6,199134|7,530768|8,000561|8,714177|12,102501|15,596180|15,541207|8,714177
4|13|1,729981|4,851755|5,213573|5,683531|6,206395|11,954274|14,076752|13,210117|6,206395
4|14|1,639241|4,931589|5,153262|5,644845|6,060446|12,081997|15,039979|13,875309|6,060446
4|15|1,530948|5,163741|6,834722|7,287108|8,028296|12,228836|18,706779|18,329460|8,028296
5|1|2,236915|10,252104|15,683377|15,845401|15,975114|12,515668|20,729342|23,307649|15,975114
5|2|1,511023|4,767364|6,959750|7,310882|7,496189|12,099338|18,247460|16,453887|7,496189
5|3|1,516433|5,200118|7,320940|7,671464|7,836380|12,196329|19,909809|18,228899|7,836380
5|4|1,566703|4,324208|6,783676|7,592473|8,676599|12,219130|21,990469|18,151690|8,676599
5|5|1,548439|5,114986|7,396442|7,755422|8,010711|12,114617|18,995494|17,260680|8,010711
5|6|1,526298|4,192887|6,013984|6,369426|6,593553|12,005203|16,690799|14,650047|6,593553
5|7|1,543307|5,721086|7,916568|8,277703|8,551534|12,197435|19,732651|18,692084|8,551534
5|8|1,500789|4,896226|7,282135|7,606796|7,692557|12,167207|19,310852|17,540048|7,692557
5|9|1,549256|5,253257|6,805687|7,203853|7,503047|12,153884|18,200367|16,493432|7,503047
