window|hide layer 1|hyde layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|1|1,801851|5,734785|5,350306|5,915643|6,315878|11,863588|12,809694|12,259772|6,315878
2|1|2|1,859531|5,762075|6,237041|6,787003|7,189086|11,968835|13,977635|13,570661|7,189086
2|1|3|2,198065|9,998469|12,958555|13,459859|14,580525|12,130933|15,932558|16,465675|14,580525
2|1|4|1,844472|9,673174|12,424472|12,941879|13,990515|12,163869|16,009482|16,468947|13,990515
2|1|5|2,587141|8,214038|10,754660|11,281101|12,384927|12,106282|15,388965|15,543859|12,384927
2|1|6|1,750196|6,017986|6,781542|7,330035|7,744643|12,024579|14,572461|14,408469|7,744643
2|1|7|2,128602|11,427496|15,121265|15,613601|17,000145|12,189495|16,275660|16,839033|17,000145
2|1|8|2,111411|9,492435|12,311834|12,805983|13,776520|12,152478|16,001691|16,515866|13,776520
2|1|9|2,189389|10,849458|14,384452|14,854524|15,937852|12,205057|16,515672|17,231080|15,937852
2|1|10|2,229940|11,346916|14,882906|15,367258|16,719972|12,149495|16,081757|16,650016|16,719972
2|1|11|2,465970|10,613492|13,718632|14,213353|15,488315|12,079484|15,715337|16,298697|15,488315
2|1|12|2,029013|7,905904|9,622006|10,159669|10,980286|12,064901|15,129913|15,262007|10,980286
2|1|13|2,223660|5,657962|6,986742|7,506957|7,674192|12,104504|15,586679|16,240679|7,674192
2|1|14|2,122783|8,968433|10,972042|11,488802|12,438277|12,026361|15,099304|15,438506|12,438277
2|1|15|2,977730|11,180440|13,504096|14,000937|15,437794|11,941360|14,524424|15,050450|15,437794
2|2|1|2,079820|5,586963|6,523081|7,069671|7,656937|11,989219|13,962904|13,401292|7,656937
2|2|2|1,582516|5,593423|7,805560|8,312430|8,940241|12,009276|14,924168|15,283292|8,940241
2|2|3|1,672194|5,332136|7,708632|8,229926|9,052832|11,963908|14,254703|14,171976|9,052832
2|2|4|1,585267|5,114407|6,940896|7,456391|8,030340|11,972060|14,299917|14,195864|8,030340
2|2|5|1,519700|5,188302|7,157220|7,677702|8,322247|11,997635|14,624775|14,656117|8,322247
2|2|6|1,626972|6,001174|7,141066|7,670173|8,233973|11,947395|14,042331|13,910660|8,233973
2|2|7|1,537941|5,369536|7,602714|8,119644|8,784106|12,014040|14,850857|15,034605|8,784106
2|2|8|1,617678|7,374039|9,157355|9,656073|10,086569|12,086257|15,657325|16,355012|10,086569
2|2|9|1,553458|4,612840|6,505853|7,022846|7,678198|11,931097|13,767037|13,449708|7,678198
2|2|10|1,651433|5,303313|5,242391|5,840211|6,479182|11,921559|13,048062|12,070555|6,479182
2|2|11|1,560916|5,513142|6,612007|7,138615|7,609981|11,954038|14,181904|14,161354|7,609981
2|2|12|1,520515|4,973196|6,956972|7,471753|8,130650|11,955472|14,123823|13,967062|8,130650
2|2|13|1,509288|5,356001|7,419994|7,938889|8,567171|12,025022|15,018629|15,326509|8,567171
2|2|14|1,605307|7,155733|8,972379|9,469373|9,827972|12,103231|15,927740|16,986248|9,827972
2|2|15|1,519835|3,934538|4,733165|5,260576|5,641190|11,856388|12,316490|11,587917|5,641190
2|3|1|1,725345|9,273897|13,049520|13,542306|14,699738|12,200864|16,862336|17,960434|14,699738
2|3|2|1,584007|5,366322|8,264239|8,753956|9,458403|11,975070|14,579171|14,785109|9,458403
2|3|3|1,601714|4,549635|6,292129|6,815297|7,508214|11,914572|13,399585|12,914366|7,508214
2|3|4|1,513869|4,819909|7,381157|7,888301|8,678115|11,920705|13,752018|13,598470|8,678115
2|3|5|1,523022|5,985711|8,502519|9,015313|9,732888|12,049377|15,324758|15,880673|9,732888
2|3|6|1,634701|7,868119|9,844347|10,313680|10,530679|12,133584|16,152321|17,179077|10,530679
2|3|7|1,580843|6,040865|6,916330|7,452028|7,942939|11,966464|14,209475|14,090739|7,942939
2|3|8|1,541211|4,158813|5,572315|6,095226|6,588042|11,900981|13,075039|12,430337|6,588042
2|3|9|1,513467|4,593349|3,797055|4,351247|4,567703|11,832794|11,802373|10,675638|4,567703
2|3|10|1,509802|5,360963|6,705634|7,234446|7,768304|11,953289|14,106225|13,979069|7,768304
2|3|11|1,490145|5,279609|7,899898|8,419074|9,130048|11,999323|14,710328|14,844200|9,130048
2|3|12|1,516666|5,519573|7,483163|8,001638|8,620729|12,026540|14,974612|15,235032|8,620729
2|3|13|1,963433|9,527440|11,954527|12,467421|13,507440|12,081596|15,496939|15,880557|13,507440
2|3|14|1,513773|4,965030|7,188164|7,709096|8,319498|11,985367|14,500820|14,495217|8,319498
2|3|15|1,446604|3,144860|3,635277|4,156844|4,497475|11,815545|9,987746|9,200051|4,497475
2|4|1|2,153024|7,498776|9,887472|10,495685|10,530253|12,032064|15,448023|16,060606|10,530253
2|4|2|1,495088|5,270156|7,464830|7,984009|8,683034|11,994670|14,715359|14,882788|8,683034
2|4|3|1,586532|4,654379|6,870625|7,383342|8,162430|11,905630|13,410370|13,133577|8,162430
2|4|4|2,003312|6,472877|8,234545|8,744689|9,731227|11,917695|13,718995|13,614450|9,731227
2|4|5|1,531323|5,771526|7,645326|8,161663|8,742389|12,008988|14,902170|15,269763|8,742389
2|4|6|1,966719|9,038629|11,331117|11,827387|12,636895|12,103113|15,664611|16,122644|12,636895
2|4|7|1,513046|6,123966|8,389140|8,902954|9,554199|12,019861|15,072783|15,555646|9,554199
2|4|8|1,570726|4,967261|7,301962|7,809586|8,502121|11,956506|14,213742|14,148481|8,502121
2|4|9|1,511566|4,402324|5,470643|6,001406|6,432478|11,909754|13,296692|12,721766|6,432478
2|4|10|1,751629|5,165031|5,426387|6,003588|6,542252|11,975189|13,437923|12,494559|6,542252
2|4|11|1,543221|5,452958|7,908995|8,420101|9,147418|12,012521|14,917874|15,192823|9,147418
2|4|12|1,767077|6,705407|7,931258|8,466963|9,053264|12,064341|14,827921|14,665937|9,053264
2|4|13|1,806655|7,213072|11,234757|11,708504|12,683171|12,041390|15,536448|16,199002|12,683171
2|4|14|1,538043|6,074326|7,835320|8,351937|8,914972|12,033220|15,169437|15,715653|8,914972
2|4|15|1,526241|4,988779|6,318375|6,844784|7,297696|11,958964|14,139461|13,975708|7,297696
2|5|1|2,180908|7,062677|8,654983|9,172376|9,811782|11,983232|14,592625|14,751829|9,811782
2|5|2|1,652793|7,239761|8,978597|9,481516|9,909495|12,096939|15,675814|16,338475|9,909495
2|5|3|1,520444|5,218039|7,151889|7,666849|8,308830|11,994145|14,615764|14,662763|8,308830
