indicators|argument|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
sma|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
wma|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
ema|0|1,569753|5,477933|8,286614|8,889521|10,929866|12,046311|14,683426|13,572302|10,929866
roc|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
macd|0|1,551006|5,102660|7,162452|7,761898|9,615798|12,125219|14,407166|12,414389|9,615798
oscil|0|1,715408|6,271256|6,987920|7,630135|9,484813|11,823730|12,640255|10,978468|9,484813
sma|1|1,650632|6,196285|7,539314|8,154974|9,644581|15,462572|13,847943|12,802135|9,644581
wma|1|1,578364|4,558990|6,253552|6,919361|8,467689|18,589960|12,619035|11,187783|8,467689
ema|1|1,520763|5,323692|7,266845|7,715090|8,539564|18,828614|20,239378|19,687562|8,539564
roc|1|1,500834|4,906167|7,223979|7,627442|8,308517|19,829195|17,703165|14,079050|8,308517
macd|1|1,470473|24,592945|34,165007|34,758705|36,532137|26,665969|36,882167|36,914016|36,532137
oscil|1|1,559810|4,921723|6,924018|7,512851|8,541193|12,564253|13,651387|12,683629|8,541193
sma|2|1,520877|5,333991|7,447760|8,037096|9,859020|14,277404|14,949566|13,040740|9,859020
wma|2|1,510954|4,700402|6,481215|7,104163|8,986985|11,202498|13,722859|11,599043|8,986985
ema|2|1,499327|5,178780|7,678355|8,268116|10,201793|11,113923|14,707744|12,655768|10,201793
roc|2|1,506795|4,705290|6,375056|7,041218|7,448586|21,071621|22,312094|18,210944|7,448586
macd|2|1,530252|4,897538|7,516698|8,061138|9,997436|11,930525|13,536813|12,377439|9,997436
oscil|2|1,519348|4,831194|6,872661|7,421278|8,980105|12,123995|13,312748|11,890706|8,980105
sma|3|1,505722|5,220068|7,516091|8,115001|9,990221|11,605774|13,347954|11,793110|9,990221
wma|3|1,479180|4,567770|6,885886|7,463292|9,327589|11,463225|12,726858|11,358969|9,327589
ema|3|1,512191|4,976323|7,401800|7,975139|9,847668|11,283033|14,025728|12,170400|9,847668
roc|3|1,586094|5,004753|6,655412|7,149989|8,522915|13,940687|16,495219|13,752333|8,522915
macd|3|1,517948|4,447302|6,413909|7,015854|8,837329|11,917087|12,462240|10,951413|8,837329
oscil|3|1,643948|4,819638|4,407735|4,996977|6,120048|11,781185|10,735651|9,089090|6,120048
sma|4|1,616487|5,327391|5,571571|6,352486|8,120624|31,776045|10,664266|9,059957|8,120624
wma|4|1,512560|4,703834|6,471059|7,062463|8,888055|11,494760|12,547503|10,963604|8,888055
ema|4|1,527219|5,026914|7,717084|8,252053|10,181668|11,424251|13,685648|12,443761|10,181668
roc|4|1,514007|5,259845|7,744608|8,031943|8,215350|12,841350|17,753790|15,117415|8,215350
macd|4|1,470897|3,716257|5,241413|5,873349|7,605667|11,764246|9,971577|8,884414|7,605667
oscil|4|1,592850|4,677890|4,907729|5,457595|5,610290|13,169907|11,737771|11,344406|5,610290
sma|5|1,728606|6,849547|8,424452|9,060235|10,500122|18,024067|13,144056|11,884456|10,500122
wma|5|1,524831|4,965086|7,650899|8,198768|10,113069|11,567177|13,672378|12,321497|10,113069
ema|5|1,547585|5,788333|8,741502|9,284705|11,193222|11,737430|14,903837|13,773001|11,193222
roc|5|1,510257|5,254192|7,411105|7,796712|9,003569|12,348569|17,357168|13,996571|9,003569
macd|5|1,538281|5,079510|7,357042|7,919355|9,793391|11,912456|13,215009|12,087174|9,793391
oscil|5|1,522799|4,614830|6,616358|7,076539|8,469712|15,066511|12,549112|11,441587|8,469712
sma|6|1,520608|5,602780|7,397091|7,954494|9,358680|16,184140|13,433114|11,383625|9,358680
wma|6|1,507071|4,503276|6,734007|7,306387|9,170815|11,289893|12,632444|11,194241|9,170815
ema|6|1,507235|4,768575|6,565242|7,197909|8,982561|11,122673|13,056561|11,252120|8,982561
roc|6|1,511818|4,663398|6,406795|6,840456|8,102844|12,018422|14,635078|11,777024|8,102844
macd|6|1,513857|4,478096|6,248090|6,861302|8,663983|11,886140|12,074705|10,632263|8,663983
oscil|6|1,753999|7,903026|9,318921|9,775291|10,831887|11,814987|14,586627|13,814215|10,831887
sma|7|1,568700|5,811689|6,716789|7,263982|8,676251|41,170913|13,114806|10,922756|8,676251
wma|7|1,433001|3,231903|3,784885|4,440307|6,076747|11,050952|8,375342|7,160686|6,076747
ema|7|1,529207|5,370275|7,706910|8,291227|10,118436|11,288205|13,783690|12,386580|10,118436
roc|7|1,529928|5,566511|6,493009|6,946429|8,062514|12,457948|16,946699|12,872117|8,062514
macd|7|1,524667|5,361874|8,370361|8,888969|10,826224|11,937146|13,845462|12,975394|10,826224
oscil|7|1,678657|6,296756|8,812469|9,733493|11,827344|12,241009|12,724882|11,976591|11,827344
sma|8|1,729496|7,386040|8,492321|9,007672|10,397684|36,723956|14,723887|12,879090|10,397684
wma|8|1,502298|5,425509|8,173786|8,734990|10,643240|11,567980|15,348754|13,543021|10,643240
ema|8|1,494373|4,891475|7,539245|8,091694|9,977914|11,412017|13,558798|12,092078|9,977914
roc|8|1,586281|4,142854|6,064552|6,717181|7,829166|12,390628|13,979365|12,163443|7,829166
macd|8|1,525393|5,409668|8,442973|8,976533|10,911243|12,009427|14,692571|13,559859|10,911243
oscil|8|1,528459|5,015632|6,883717|7,416700|7,928045|13,109530|15,400879|13,717479|7,928045
sma|9|1,773768|5,330340|6,262826|6,888969|8,345480|11,627200|11,757096|10,137004|8,345480
wma|9|1,537249|4,607247|6,452224|7,025714|8,894240|11,592633|12,551924|11,173249|8,894240
ema|9|1,509155|4,790234|7,253751|7,832679|9,669812|11,537853|12,722231|11,566640|9,669812
roc|9|1,521332|4,305465|4,484927|5,371682|5,816015|13,445242|11,410809|10,019070|5,816015
macd|9|1,513493|5,667775|8,904041|9,446805|11,366858|11,987237|14,469176|13,743950|11,366858
oscil|9|1,557949|4,071405|3,131403|3,863120|4,135454|16,022520|9,327435|8,886623|4,135454
sma|10|1,512822|3,961440|5,114984|5,711977|6,972950|38,810602|10,430616|8,638101|6,972950
wma|10|1,498725|5,270732|7,597375|8,179591|10,014940|11,561881|14,436047|12,654553|10,014940
ema|10|1,526920|5,242457|8,127548|8,663423|10,569806|11,636487|13,935687|12,784623|10,569806
roc|10|1,507040|5,183706|4,834461|5,905112|6,564596|15,957529|12,458330|11,319941|6,564596
macd|10|1,532537|5,243276|7,812057|8,366438|10,219868|11,969756|13,623903|12,312212|10,219868
oscil|10|1,510107|5,000003|6,803120|7,498237|8,214138|13,713164|14,234699|13,131707|8,214138
sma|11|1,529915|4,285160|4,452793|5,153998|6,325458|29,315989|9,125867|7,773603|6,325458
wma|11|1,535917|5,243773|8,091191|8,640259|10,529379|11,514141|14,267813|13,019659|10,529379
ema|11|1,527756|4,639526|6,703687|7,290395|9,090690|11,486043|12,148084|10,861189|9,090690
roc|11|1,512785|5,613485|5,975614|7,113579|7,639292|12,847993|13,784211|12,615345|7,639292
macd|11|1,538766|5,648564|8,822596|9,347722|11,252386|11,973853|14,376873|13,504746|11,252386
oscil|11|1,559689|4,885549|3,431303|4,254070|4,672359|46,733201|10,247542|9,498869|4,672359
sma|12|1,580876|5,703453|5,269368|6,040677|7,227206|32,359114|10,476568|9,034301|7,227206
wma|12|1,554256|5,474673|8,606515|9,164193|11,148892|11,928783|15,239492|14,319869|11,148892
ema|12|1,505713|5,863890|8,593781|9,175179|11,053337|11,580869|16,528056|14,369864|11,053337
roc|12|1,620498|6,658320|6,275299|7,618619|9,072737|13,558688|12,945716|12,215718|9,072737
macd|12|1,501027|4,776669|6,521644|7,139546|8,940105|12,006338|13,295448|11,454131|8,940105
oscil|12|1,600690|7,256048|8,094667|9,076453|9,071807|13,892431|13,951948|14,744639|9,071807
sma|13|1,676663|5,396329|5,128939|5,972223|7,296191|14,538697|11,227906|9,561966|7,296191
wma|13|1,505720|5,385049|7,201270|7,821086|9,633722|11,471183|14,803947|12,714806|9,633722
ema|13|1,490379|4,449891|6,564601|7,166289|8,967185|11,456964|12,052681|10,728960|8,967185
roc|13|1,543092|4,197240|5,483911|6,693385|8,800399|12,115820|12,094576|11,232405|8,800399
macd|13|1,514894|5,341509|8,352067|8,877698|10,829269|11,968007|14,147030|13,153326|10,829269
oscil|13|1,536928|4,309617|4,042614|4,843716|5,572543|15,831208|10,432171|9,994074|5,572543
sma|14|1,619419|5,018633|3,023714|3,869554|5,145746|15,662418|7,571702|6,541235|5,145746
wma|14|1,497063|5,139634|7,477806|8,047985|9,887404|11,521755|13,787892|12,167203|9,887404
ema|14|1,517042|4,649569|7,038039|7,592810|9,466142|11,715517|12,378700|11,235293|9,466142
roc|14|1,516296|4,886992|6,543233|7,677871|9,574514|12,026934|13,172526|12,230156|9,574514
macd|14|1,496619|5,062338|7,690777|8,240461|10,140362|11,935023|13,525629|12,422985|10,140362
oscil|14|1,684202|5,176734|2,891225|3,748796|4,374444|37,364980|9,215895|9,125237|4,374444
sma|15|1,542489|4,794918|4,984041|5,853130|7,302071|32,839326|9,855327|8,683862|7,302071
wma|15|1,487571|3,291366|4,185881|4,823273|6,531131|11,329113|8,894815|7,721248|6,531131
ema|15|1,515679|6,054990|8,221907|8,848240|10,633034|11,548715|15,013606|13,444383|10,633034
roc|15|1,559524|3,946000|4,338617|5,290784|7,071492|12,602793|10,113901|9,233911|7,071492
macd|15|1,524405|4,416709|6,008758|6,615810|8,446702|11,925206|12,428238|10,748687|8,446702
oscil|15|1,690278|7,219610|5,733050|6,740342|7,210253|14,973156|14,509487|13,010641|7,210253
sma|16|1,544028|4,999698|3,807110|4,703696|6,164390|21,610267|8,123974|7,251244|6,164390
wma|16|1,516539|5,389150|8,405856|8,934212|10,848541|11,662916|14,258540|13,173880|10,848541
ema|16|1,503854|4,363306|6,534525|7,118355|8,973556|11,617598|12,232225|10,923613|8,973556
roc|16|1,610604|4,104395|2,968003|3,789342|5,019263|13,748346|8,263736|7,801022|5,019263
macd|16|1,513433|5,299639|8,128447|8,660791|10,564482|11,935073|13,745908|12,822972|10,564482
oscil|16|1,516944|5,158276|7,284889|8,192379|8,865377|18,044160|15,823082|16,681314|8,865377
sma|17|1,549329|4,230516|3,959755|4,900234|6,329693|23,565429|8,240961|7,414858|6,329693
wma|17|1,479535|3,553090|4,854819|5,480179|7,223252|11,568459|9,847173|8,597312|7,223252
ema|17|1,497756|6,034434|7,841733|8,483016|10,265358|11,406808|14,444012|12,852344|10,265358
roc|17|1,626417|3,685647|1,553530|1,778686|2,782830|20,314045|1,676738|4,228810|2,782830
macd|17|1,505709|5,063482|7,881011|8,417297|10,339636|11,946566|13,892069|12,743819|10,339636
oscil|17|1,589127|4,103908|1,897158|2,430714|3,438734|17,193326|5,934901|6,683326|3,438734
sma|18|1,580725|6,157571|4,341170|5,179140|6,724441|17,421905|8,421647|7,617959|6,724441
wma|18|1,529997|5,640761|8,664739|9,218272|11,072234|11,731713|13,806697|12,916323|11,072234
ema|18|1,569976|5,245875|7,262672|7,831895|9,688779|11,515606|12,708093|11,491816|9,688779
roc|18|1,525695|3,831083|1,838366|2,403192|3,529394|17,665210|2,809520|3,723551|3,529394
macd|18|1,509338|3,971921|5,648383|6,250809|8,053557|11,815860|10,934827|9,705386|8,053557
oscil|18|1,553601|5,605272|5,150600|5,913126|6,939283|13,957805|14,266459|12,435638|6,939283
sma|19|1,567500|5,162918|2,651702|3,425504|4,905996|19,714627|4,862726|5,042334|4,905996
wma|19|1,513742|5,316826|8,248715|8,799220|10,700412|11,584959|14,345663|13,060993|10,700412
ema|19|1,509235|4,744949|6,726398|7,327534|9,115070|11,594917|12,431785|11,048345|9,115070
roc|19|1,758902|7,477638|6,532884|7,571917|9,112449|12,024032|13,675066|12,919862|9,112449
macd|19|1,506807|4,641897|6,458185|7,059368|8,845207|11,871872|12,046780|10,751202|8,845207
oscil|19|1,569819|3,795811|3,974322|4,719565|5,369080|18,769310|13,034931|12,209414|5,369080
sma|20|1,645246|6,156276|5,473551|6,464531|8,036823|13,440199|11,514717|10,099859|8,036823
wma|20|1,517924|4,093066|6,010040|6,605671|8,438939|11,639366|11,567384|10,315868|8,438939
ema|20|1,524150|4,841368|7,037168|7,624210|9,453650|11,546617|12,990304|11,485495|9,453650
roc|20|1,527676|3,435346|1,698007|0,901231|0,872393|18,271874|4,138190|1,122137|0,872393
macd|20|1,518766|5,463389|8,445753|8,972135|10,906776|11,956516|13,934446|12,964729|10,906776
oscil|20|1,551167|5,641815|7,822146|8,478751|9,625692|12,413915|16,896610|15,105955|9,625692
sma|21|1,734799|8,508820|2,527007|3,401612|4,737320|31,810734|5,116564|5,358431|4,737320
wma|21|1,543215|5,165029|7,865627|8,398503|10,331441|11,704022|13,799143|12,682490|10,331441
ema|21|1,510132|4,040375|5,681095|6,286255|8,074307|11,557179|10,887422|9,597504|8,074307
roc|21|1,544395|3,554783|2,032031|2,469314|3,670639|17,058321|3,041232|3,489315|3,670639
macd|21|1,481997|4,416326|5,953776|6,578714|8,367960|11,948049|12,385499|10,600972|8,367960
oscil|21|1,593308|4,248513|2,272663|2,875367|3,149625|15,857876|10,008311|9,484219|3,149625
sma|22|1,498707|4,548364|3,549177|4,517992|6,003919|29,502357|7,327322|6,856301|6,003919
wma|22|1,530292|5,683753|8,284053|8,856915|10,734149|11,576712|15,092768|13,483657|10,734149
ema|22|1,526834|4,517401|6,552674|7,132451|8,976100|11,745237|12,629551|11,277330|8,976100
roc|22|1,636841|5,050023|3,373001|4,017354|5,067199|16,332607|9,052493|7,919613|5,067199
macd|22|1,419578|3,356208|4,064616|4,708096|6,367958|11,698965|8,624342|7,465821|6,367958
oscil|22|1,543901|4,696757|4,730330|5,435128|6,157103|16,300360|12,798492|11,743790|6,157103
sma|23|1,575683|3,430376|1,703690|2,174807|3,431381|19,995313|1,948366|2,759926|3,431381
wma|23|1,527486|5,571120|8,423105|8,974847|10,846340|11,670304|14,863066|13,356468|10,846340
ema|23|1,498296|4,837777|6,215295|6,865839|8,615841|11,444276|12,207021|10,571285|8,615841
roc|23|1,570562|3,073933|1,439355|0,888689|1,448241|20,015484|2,460269|0,704293|1,448241
macd|23|1,482953|5,140040|6,912550|7,524958|9,351058|11,980988|13,379282|11,827562|9,351058
oscil|23|1,556920|4,617240|4,097452|4,777099|5,730383|16,845522|10,087851|9,569749|5,730383
sma|24|1,655045|5,188453|3,226261|4,014270|5,510962|18,264501|4,804204|5,084764|5,510962
wma|24|1,516503|5,306992|7,810287|8,393221|10,263214|11,674897|14,269132|12,756646|10,263214
ema|24|1,554892|5,783578|8,701715|9,246266|11,123472|11,860574|14,604274|13,611451|11,123472
roc|24|1,545569|3,465123|1,186150|1,290882|2,139045|18,414991|1,073544|1,540697|2,139045
macd|24|1,502241|4,439133|6,233580|6,818646|8,654750|11,856209|11,759106|10,482873|8,654750
oscil|24|1,556439|4,675484|5,331660|6,050796|7,015998|15,753404|11,578031|11,616901|7,015998
sma|25|1,532864|4,463544|2,035636|2,688505|3,972010|25,176557|3,008667|3,697024|3,972010
wma|25|1,499281|4,306235|6,448378|7,041267|8,869025|11,622852|11,895534|10,647379|8,869025
ema|25|1,497603|4,242235|5,606604|6,196334|8,010771|11,590332|11,010098|9,622343|8,010771
roc|25|1,666797|6,347117|1,901449|2,469307|2,507879|25,406462|2,643366|5,790741|2,507879
macd|25|1,491808|3,974673|5,330464|5,949024|7,731574|11,827086|10,958945|9,487150|7,731574
oscil|25|1,594069|4,296391|4,018989|4,758643|5,477579|18,808596|9,869649|10,015730|5,477579
sma|26|1,674858|3,645352|1,324878|0,934391|1,537874|18,855257|1,561296|0,832990|1,537874
wma|26|1,473640|3,471481|4,575694|5,221462|6,928413|11,569242|9,315109|8,139443|6,928413
ema|26|1,522176|5,027518|7,562290|8,122740|9,990184|11,691395|13,452111|12,127568|9,990184
roc|26|1,563161|4,309112|3,386391|2,441157|0,984107|21,747419|7,917111|4,178229|0,984107
macd|26|1,513897|5,240492|8,069447|8,609322|10,530868|11,998496|14,354213|13,123574|10,530868
oscil|26|1,586893|5,998778|5,996483|6,937247|7,201943|15,188642|15,626363|15,829612|7,201943
sma|27|1,552826|4,427474|1,744016|1,109029|1,621267|28,973358|3,522103|1,063426|1,621267
wma|27|1,518503|4,656231|6,322734|6,917473|8,740604|11,587106|12,096530|10,630341|8,740604
