func activ -BipolarSigmoid((double)2.0) , init - ConstInitializer(5) 500 iteracji
window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|21,102519|21,295168|30,697719|31,214271|32,903969|21,295168|30,697719|31,214271|32,903969
2|2|10,485893|22,501591|32,032434|32,549266|34,239632|22,501591|32,032434|32,549266|34,239632
2|3|7,463293|22,881092|32,449055|32,965969|34,656533|22,881092|32,449055|32,965969|34,656533
2|4|6,297517|22,982288|32,559909|33,076845|34,767461|22,982288|32,559909|33,076845|34,767461
2|5|1,332501|19,758019|27,411430|28,013233|29,532860|22,607946|31,436159|31,373985|29,532860
2|6|1,298550|19,340987|26,782076|27,391518|28,901353|22,589558|31,303579|31,142930|28,901353
2|7|1,271915|18,989269|26,249602|26,865595|28,367560|22,580488|31,193944|30,945394|28,367560
2|8|1,251900|18,692639|25,799185|26,420859|27,916619|22,575043|31,100565|30,774636|27,916619
2|9|10,479096|22,431583|31,955420|32,472236|34,162566|22,431583|31,955420|32,472236|34,162566
2|10|4,820254|22,648934|32,193571|32,710533|34,400773|22,649488|32,194809|32,711615|34,400773
2|11|4,641975|22,654064|32,198683|32,715664|34,405682|22,655076|32,200851|32,717609|34,405682
2|12|15,806748|22,022920|31,504824|32,021548|33,711657|22,022920|31,504824|32,021548|33,711657
2|13|19,402577|21,909573|31,379522|31,896220|33,586267|21,909573|31,379522|31,896220|33,586267
2|14|19,738170|21,808431|31,267592|31,784266|33,474257|21,808431|31,267592|31,784266|33,474257
2|15|21,840759|21,720662|31,170364|31,687018|33,376959|21,720662|31,170364|31,687018|33,376959
2|16|23,118235|21,644422|31,085836|31,602472|33,292370|21,644422|31,085836|31,602472|33,292370
2|17|26,517629|21,577632|31,011728|31,528348|33,218208|21,577632|31,011728|31,528348|33,218208
2|18|27,806589|21,524075|30,952265|31,468872|33,158702|21,524075|30,952265|31,468872|33,158702
2|19|27,972517|21,471239|30,893568|31,410162|33,099962|21,471239|30,893568|31,410162|33,099962
2|20|29,104096|21,426732|30,844097|31,360681|33,050455|21,426732|30,844097|31,360681|33,050455
3|1|19,434905|21,295168|30,697719|31,214271|32,903969|21,295168|30,697719|31,214271|32,903969
3|2|9,886853|22,501591|32,032434|32,549266|34,239632|22,501591|32,032434|32,549266|34,239632
3|3|7,236611|22,881092|32,449055|32,965969|34,656533|22,881092|32,449055|32,965969|34,656533
3|4|6,039169|22,982288|32,559909|33,076845|34,767461|22,982288|32,559909|33,076845|34,767461
3|5|3,570263|22,951017|32,518617|33,036063|34,727711|22,967803|32,525902|33,027365|34,727711
3|6|1,465446|20,295416|28,281984|28,867261|30,377674|22,472805|31,226646|31,086186|30,377674
3|7|1,410929|19,955364|27,743154|28,335259|29,830675|22,497858|31,107362|30,838173|29,830675
3|8|10,436134|22,570558|32,108254|32,625101|34,315504|22,570558|32,108254|32,625101|34,315504
3|9|17,736295|22,413441|31,935454|32,452266|34,142586|22,413441|31,935454|32,452266|34,142586
3|10|11,496424|22,284715|31,793687|32,310470|34,000721|22,284715|31,793687|32,310470|34,000721
3|11|12,307040|22,145748|31,640444|32,157197|33,847372|22,145748|31,640444|32,157197|33,847372
3|12|14,048033|22,019371|31,500902|32,017626|33,707733|22,019371|31,500902|32,017626|33,707733
3|13|17,291760|21,906912|31,376579|31,893277|33,583322|21,906912|31,376579|31,893277|33,583322
3|14|19,740880|21,806502|31,265456|31,782130|33,472119|21,806502|31,265456|31,782130|33,472119
3|15|20,178423|21,717991|31,167405|31,684058|33,373997|21,717991|31,167405|31,684058|33,373997
3|16|22,789756|21,642313|31,083497|31,600132|33,290029|21,642313|31,083497|31,600132|33,290029
3|17|24,042439|21,576031|31,009951|31,526571|33,216430|21,576031|31,009951|31,526571|33,216430
3|18|25,935059|21,521849|30,949793|31,466399|33,156228|21,521849|30,949793|31,466399|33,156228
3|19|27,581480|21,470430|30,892669|31,409264|33,099063|21,470430|30,892669|31,409264|33,099063
3|20|27,111217|21,433802|30,851957|31,368543|33,058321|21,433802|30,851957|31,368543|33,058321
4|1|19,719138|21,295168|30,697719|31,214271|32,903969|21,295168|30,697719|31,214271|32,903969
4|2|5,819371|22,481434|32,012493|32,529352|34,220112|22,472532|31,997531|32,511646|34,220112
4|3|4,536110|22,878334|32,445701|32,962667|34,653254|22,879094|32,445281|32,960798|34,653254
4|4|3,847481|22,980356|32,557053|33,074069|34,764675|22,981969|32,557833|33,073282|34,764675
4|5|3,458160|22,951638|32,524328|33,041496|34,731980|22,955564|32,525737|33,038553|34,731980
4|6|1,911792|20,476899|28,812996|29,430477|30,978645|21,930162|30,439284|30,198792|30,978645
4|7|5,566888|22,722825|32,275481|32,792361|34,482844|22,722825|32,275481|32,792361|34,482844
4|8|1,563782|20,249513|28,203032|28,847125|30,303982|22,362185|30,714439|30,323228|30,303982
4|9|19,253197|22,413412|31,935422|32,452234|34,142554|22,413412|31,935422|32,452234|34,142554
4|10|11,509376|22,270587|31,778117|32,294897|33,985141|22,270587|31,778117|32,294897|33,985141
4|11|10,931640|22,134048|31,627532|32,144282|33,834451|22,134048|31,627532|32,144282|33,834451
4|12|12,413878|22,008004|31,488343|32,005063|33,695164|22,008004|31,488343|32,005063|33,695164
4|13|16,316885|21,890802|31,358758|31,875452|33,565488|21,890802|31,358758|31,875452|33,565488
4|14|17,609424|21,791869|31,249251|31,765922|33,455903|21,791869|31,249251|31,765922|33,455903
4|15|17,980385|21,706096|31,154221|31,670871|33,360804|21,706096|31,154221|31,670871|33,360804
4|16|19,632328|21,630483|31,070374|31,587006|33,276897|21,630483|31,070374|31,587006|33,276897
4|17|22,485106|21,565531|30,998296|31,514913|33,204767|21,565531|30,998296|31,514913|33,204767
4|18|23,017827|21,509547|30,936129|31,452733|33,142554|21,509547|30,936129|31,452733|33,142554
4|19|23,014769|21,460994|30,882182|31,398774|33,088568|21,460994|30,882182|31,398774|33,088568
4|20|25,711004|21,420748|30,837445|31,354027|33,043798|21,420748|30,837445|31,354027|33,043798
5|1|17,064783|21,295168|30,697719|31,214271|32,903969|21,295168|30,697719|31,214271|32,903969
5|2|8,497856|22,501591|32,032434|32,549266|34,239632|22,501591|32,032434|32,549266|34,239632
5|3|4,513667|22,880642|32,448443|32,965377|34,655981|22,880877|32,448439|32,965025|34,655981
5|4|3,824014|22,981958|32,559397|33,076355|34,767007|22,982245|32,559534|33,076193|34,767007
5|5|3,432913|22,953739|32,528334|33,045312|34,736000|22,954259|32,528546|33,044937|34,736000
5|6|3,361481|22,856575|32,421333|32,938394|34,629182|22,857854|32,421003|32,935942|34,629182
5|7|5,548430|22,722825|32,275481|32,792361|34,482844|22,722825|32,275481|32,792361|34,482844
5|8|10,434764|22,570557|32,108253|32,625100|34,315503|22,570557|32,108253|32,625100|34,315503
5|9|18,019330|22,413414|31,935424|32,452236|34,142556|22,413414|31,935424|32,452236|34,142556
5|10|10,637736|22,279649|31,788104|32,304886|33,995135|22,279649|31,788104|32,304886|33,995135
5|11|28,657590|22,117261|31,609005|32,125751|33,815911|22,117261|31,609005|32,125751|33,815911
5|12|36,304398|21,987508|31,465693|31,982408|33,672498|21,987508|31,465693|31,982408|33,672498
5|13|17,796743|21,902709|31,371930|31,888626|33,578669|21,902709|31,371930|31,888626|33,578669
5|14|19,003239|21,791164|31,248471|31,765141|33,455122|21,791164|31,248471|31,765141|33,455122
5|15|20,867981|21,704496|31,152447|31,669097|33,359029|21,704496|31,152447|31,669097|33,359029
5|16|20,853689|21,633657|31,073895|31,590529|33,280420|21,633657|31,073895|31,590529|33,280420
5|17|87,388853|21,545923|30,976526|31,493139|33,182981|21,545923|30,976526|31,493139|33,182981
5|18|24,581668|21,516037|30,943338|31,459943|33,149768|21,516037|30,943338|31,459943|33,149768
5|19|26,102810|21,466697|30,888521|31,405114|33,094911|21,466697|30,888521|31,405114|33,094911
5|20|174,735889|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
6|1|16,478760|21,295168|30,697719|31,214271|32,903969|21,295168|30,697719|31,214271|32,903969
6|2|8,418922|22,501591|32,032434|32,549266|34,239632|22,501591|32,032434|32,549266|34,239632
6|3|4,495744|22,880979|32,448885|32,965807|34,656381|22,881052|32,448867|32,965680|34,656381
6|4|5,098676|22,982288|32,559909|33,076845|34,767461|22,982288|32,559909|33,076845|34,767461
6|5|4,462037|22,954161|32,529107|33,046037|34,736639|22,954161|32,529107|33,046037|34,736639
6|6|3,891535|22,857160|32,422823|32,939732|34,630284|22,857160|32,422823|32,939732|34,630284
6|7|4,188596|22,722825|32,275481|32,792361|34,482844|22,722825|32,275481|32,792361|34,482844
6|8|9,541593|22,570557|32,108253|32,625099|34,315502|22,570557|32,108253|32,625099|34,315502
6|9|19,572686|22,413412|31,935422|32,452234|34,142554|22,413412|31,935422|32,452234|34,142554
6|10|22,549585|22,260354|31,766839|32,283617|33,973855|22,260354|31,766839|32,283617|33,973855
6|11|25,946106|22,117310|31,609059|32,125805|33,815965|22,117310|31,609059|32,125805|33,815965
6|12|37,785324|21,987498|31,465681|31,982397|33,672487|21,987498|31,465681|31,982397|33,672487
6|13|50,144959|21,872527|31,338538|31,855227|33,545253|21,872527|31,338538|31,855227|33,545253
6|14|54,593247|21,772339|31,227622|31,744288|33,434258|21,772339|31,227622|31,744288|33,434258
6|15|175,779047|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
6|16|174,758596|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
6|17|174,716894|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
6|18|26,443427|21,510316|30,936983|31,453587|33,143409|21,510316|30,936983|31,453587|33,143409
6|19|175,149622|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
6|20|175,784506|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
7|1|16,235094|21,295168|30,697719|31,214271|32,903969|21,295168|30,697719|31,214271|32,903969
7|2|8,532862|22,501591|32,032434|32,549266|34,239632|22,501591|32,032434|32,549266|34,239632
7|3|6,417811|22,881092|32,449055|32,965969|34,656533|22,881092|32,449055|32,965969|34,656533
7|4|5,299802|22,982288|32,559909|33,076845|34,767461|22,982288|32,559909|33,076845|34,767461
7|5|4,692263|22,954161|32,529107|33,046037|34,736639|22,954161|32,529107|33,046037|34,736639
7|6|4,635617|22,857160|32,422823|32,939732|34,630284|22,857160|32,422823|32,939732|34,630284
7|7|4,159416|22,722746|32,275237|32,792167|34,482689|22,722897|32,262412|32,778379|34,482689
7|8|11,881244|22,570557|32,108253|32,625099|34,315502|22,570557|32,108253|32,625099|34,315502
7|9|19,938862|22,413412|31,935422|32,452234|34,142554|22,413412|31,935422|32,452234|34,142554
7|10|25,181205|22,260353|31,766838|32,283616|33,973853|22,260353|31,766838|32,283616|33,973853
7|11|26,070520|22,117258|31,609001|32,125747|33,815907|22,117258|31,609001|32,125747|33,815907
7|12|38,171573|21,987497|31,465680|31,982396|33,672485|21,987497|31,465680|31,982396|33,672485
7|13|51,527641|21,872526|31,338537|31,855226|33,545252|21,872526|31,338537|31,855226|33,545252
7|14|58,148465|21,772336|31,227618|31,744284|33,434254|21,772336|31,227618|31,744284|33,434254
7|15|65,468495|21,685622|31,131524|31,648170|33,338091|21,685622|31,131524|31,648170|33,338091
7|16|175,766452|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
7|17|175,766486|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
7|18|175,096537|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
7|19|176,120825|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
7|20|175,131595|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
8|1|16,115067|21,295168|30,697719|31,214271|32,903969|21,295168|30,697719|31,214271|32,903969
8|2|8,588063|22,501591|32,032434|32,549266|34,239632|22,501591|32,032434|32,549266|34,239632
8|3|6,413808|22,881092|32,449055|32,965969|34,656533|22,881092|32,449055|32,965969|34,656533
8|4|5,267694|22,982288|32,559909|33,076845|34,767461|22,982288|32,559909|33,076845|34,767461
8|5|4,568397|22,954161|32,529107|33,046037|34,736639|22,954161|32,529107|33,046037|34,736639
8|6|4,043384|22,857160|32,422823|32,939732|34,630284|22,857160|32,422823|32,939732|34,630284
8|7|4,204622|22,722825|32,275481|32,792361|34,482844|22,722825|32,275481|32,792361|34,482844
8|8|11,412465|22,570557|32,108253|32,625099|34,315502|22,570557|32,108253|32,625099|34,315502
8|9|19,771504|22,413412|31,935421|32,452234|34,142553|22,413412|31,935421|32,452234|34,142553
8|10|25,212507|22,260353|31,766838|32,283615|33,973853|22,260353|31,766838|32,283615|33,973853
8|11|27,876639|22,117252|31,608995|32,125741|33,815901|22,117252|31,608995|32,125741|33,815901
8|12|175,945846|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
8|13|175,945890|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
8|14|175,945885|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
8|15|175,945885|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
8|16|175,945858|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
8|17|175,634033|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
8|18|176,278686|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
8|19|175,945895|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
8|20|176,243675|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
9|1|16,037371|21,295168|30,697719|31,214271|32,903969|21,295168|30,697719|31,214271|32,903969
9|2|8,581865|22,501591|32,032434|32,549266|34,239632|22,501591|32,032434|32,549266|34,239632
9|3|6,340664|22,881092|32,449055|32,965969|34,656533|22,881092|32,449055|32,965969|34,656533
9|4|5,228859|22,982288|32,559909|33,076845|34,767461|22,982288|32,559909|33,076845|34,767461
9|5|4,600742|22,954161|32,529107|33,046037|34,736639|22,954161|32,529107|33,046037|34,736639
9|6|4,467297|22,857160|32,422823|32,939732|34,630284|22,857160|32,422823|32,939732|34,630284
9|7|5,890502|22,722825|32,275481|32,792361|34,482844|22,722825|32,275481|32,792361|34,482844
9|8|10,045897|22,570557|32,108253|32,625099|34,315502|22,570557|32,108253|32,625099|34,315502
9|9|30,899859|22,413412|31,935421|32,452234|34,142553|22,413412|31,935421|32,452234|34,142553
9|10|25,938883|22,260353|31,766838|32,283615|33,973853|22,260353|31,766838|32,283615|33,973853
9|11|29,248523|22,117252|31,608995|32,125741|33,815901|22,117252|31,608995|32,125741|33,815901
9|12|39,940351|21,987707|31,465913|31,982629|33,672718|21,987707|31,465913|31,982629|33,672718
9|13|174,658077|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
9|14|176,031258|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
9|15|70,497949|21,685621|31,131522|31,648168|33,338089|21,685621|31,131522|31,648168|33,338089
9|16|173,733872|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
9|17|173,733871|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
9|18|176,305086|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
9|19|174,658116|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
9|20|173,733872|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
