func activ -BipolarSigmoid((double)2.0) , init - RandomInitializer()  500 iteracji
window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|0,883533|13,332753|15,096390|15,947412|16,561835|22,816800|29,997445|28,684563|16,561835
2|2|0,709144|5,619298|5,646571|6,322282|7,028901|23,005441|23,887852|17,406099|7,028901
2|3|0,808592|7,974357|6,824885|7,615686|8,151984|23,029610|26,740655|22,282462|8,151984
2|4|0,829513|8,387077|7,242969|8,083337|8,826293|22,969406|26,522344|21,940170|8,826293
2|5|0,876894|14,602086|17,751233|18,617753|19,905081|22,541666|29,550199|27,997365|19,905081
2|6|0,713964|8,583827|7,995146|8,851545|9,590502|22,618933|26,435808|22,152244|9,590502
2|7|0,940196|10,815215|9,056979|10,033620|11,014030|22,882084|27,730822|24,359551|11,014030
2|8|0,810557|9,514937|9,309964|10,177189|10,831956|22,668524|27,515818|24,123662|10,831956
2|9|0,966815|19,708871|26,904384|27,572014|29,189919|22,758367|31,352131|31,125871|29,189919
2|10|0,939489|11,275081|11,109818|12,134298|13,406086|22,504504|27,542798|24,317403|13,406086
2|11|1,362434|19,475948|25,667936|26,470732|28,120983|22,591841|30,977136|30,694379|28,120983
2|12|1,027582|17,063569|21,198647|22,111517|23,696747|22,756839|30,292236|29,257333|23,696747
2|13|0,994490|15,937718|20,126319|21,000664|22,733730|22,248602|29,146246|27,632363|22,733730
2|14|2,189467|19,569977|26,287022|27,042204|28,847750|22,409661|30,679130|30,324531|28,847750
2|15|1,165661|19,941296|26,705792|27,463265|29,164234|22,577028|31,086999|30,897757|29,164234
2|16|1,380198|17,946183|22,798307|23,690195|25,364791|22,548031|30,351304|29,595945|25,364791
2|17|0,986693|13,929154|15,006299|16,090718|17,561651|22,366947|28,694704|26,687765|17,561651
2|18|1,696809|22,303380|31,445848|32,001341|33,689808|22,646960|32,055317|32,488440|33,689808
2|19|1,344982|18,664647|24,289345|25,128891|26,785203|22,408503|30,541241|30,072663|26,785203
2|20|0,746273|11,042724|11,227791|12,158505|13,114441|22,937163|28,282265|25,267616|13,114441
3|1|1,567762|6,639303|8,744633|9,401445|10,809958|21,539227|21,341116|16,082777|10,809958
3|2|0,906724|8,163887|9,410407|10,038059|11,497845|20,913943|20,558204|14,394276|11,497845
3|3|0,759224|8,949915|9,029766|9,869978|10,909094|22,380512|24,240982|18,184823|10,909094
3|4|0,816694|10,247688|9,760186|10,614914|11,063115|22,830693|27,018426|23,016617|11,063115
3|5|0,863589|15,732446|19,557081|20,385426|21,655663|22,958877|28,735496|25,985615|21,655663
3|6|1,102753|18,555383|23,148458|24,064780|25,560566|22,994005|29,484848|27,358728|25,560566
3|7|0,889658|12,616307|13,231309|14,120696|14,801084|23,034919|27,585566|23,738381|14,801084
3|8|0,870704|12,805505|13,047164|13,971030|14,595157|23,182474|27,466590|23,466976|14,595157
3|9|1,114595|8,656749|8,154516|8,915665|9,150590|22,734410|27,603095|24,236560|9,150590
3|10|1,097330|21,099362|29,504702|30,071400|31,584367|22,907531|32,074992|32,266120|31,584367
3|11|1,059798|14,892369|17,883055|18,789743|20,441710|22,413448|26,243768|21,580417|20,441710
3|12|0,793317|10,845571|10,095354|11,025272|11,941917|22,883826|25,233107|19,422445|11,941917
3|13|0,972885|12,511649|12,824298|13,801985|14,872537|22,498391|26,598704|22,345016|14,872537
3|14|0,847016|12,579382|13,006205|13,931102|14,797534|23,078192|27,010064|22,558344|14,797534
3|15|0,857127|13,532851|14,029524|15,099453|16,582479|22,760590|25,251882|19,175214|16,582479
3|16|1,016972|10,687092|10,574546|11,537127|12,818065|22,170886|24,645991|19,275622|12,818065
3|17|1,479639|20,711891|27,956046|28,691583|30,500325|22,783480|29,815993|28,202067|30,500325
3|18|0,759188|9,320142|7,009514|7,861336|8,160014|23,027664|25,621001|20,365216|8,160014
3|19|0,803129|11,856817|11,535662|12,449356|12,935578|22,990978|27,388065|23,486231|12,935578
3|20|1,073349|14,098366|15,845405|16,906074|18,675320|22,088845|25,929269|21,315134|18,675320
4|1|1,124710|11,008923|9,775966|11,019430|11,336007|22,985447|23,123860|17,254406|11,336007
4|2|0,968369|12,414068|13,683265|14,733799|15,406646|23,141483|25,544811|21,438950|15,406646
4|3|0,789731|7,492755|7,508447|8,514658|9,062616|22,553624|20,661026|13,803040|9,062616
4|4|0,828710|10,564560|7,810608|8,936345|9,130629|23,113495|22,587575|16,299619|9,130629
4|5|0,866250|11,325095|5,964631|7,282934|6,582517|23,011617|21,998691|16,151408|6,582517
4|6|1,128375|10,218704|3,791027|4,872136|4,759873|23,139274|15,059252|10,072320|4,759873
4|7|0,760858|7,323750|5,212241|6,200500|6,296271|22,688486|18,264006|11,445069|6,296271
