func activ -Sigmoid(2.0) , init - RandomInitializer() 500 iteracji
window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|151,763658|27,509471|14,341958|13,807088|12,064202|27,509975|14,342106|13,807205|12,064202
2|2|151,764291|27,510372|14,342553|13,807689|12,064795|27,510382|14,342557|13,807691|12,064795
2|3|151,764006|27,510463|14,342646|13,807781|12,064888|27,510465|14,342646|13,807781|12,064888
2|4|151,763916|27,510511|14,342692|13,807827|12,064934|27,510505|14,342688|13,807825|12,064934
2|5|151,763846|27,510519|14,342701|13,807836|12,064943|27,510514|14,342698|13,807834|12,064943
2|6|151,763777|27,510540|14,342723|13,807859|12,064965|27,510534|14,342720|13,807856|12,064965
2|7|151,763754|27,510537|14,342720|13,807856|12,064963|27,510533|14,342718|13,807854|12,064963
2|8|151,763717|27,510550|14,342734|13,807870|12,064977|27,510546|14,342732|13,807868|12,064977
2|9|151,763720|27,510560|14,342745|13,807881|12,064988|27,510555|14,342742|13,807878|12,064988
2|10|151,763678|27,510543|14,342728|13,807863|12,064970|27,510541|14,342726|13,807862|12,064970
2|11|151,763668|27,510556|14,342741|13,807877|12,064984|27,510553|14,342739|13,807876|12,064984
2|12|151,763668|27,510559|14,342745|13,807880|12,064987|27,510556|14,342743|13,807879|12,064987
2|13|151,763643|27,510562|14,342748|13,807883|12,064990|27,510559|14,342746|13,807882|12,064990
2|14|151,763618|27,510558|14,342743|13,807879|12,064986|27,510555|14,342742|13,807878|12,064986
2|15|151,763619|27,510561|14,342747|13,807882|12,064989|27,510559|14,342745|13,807881|12,064989
2|16|151,763704|27,510554|14,342739|13,807875|12,064982|27,510550|14,342737|13,807873|12,064982
2|17|902,670383|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
2|18|902,670224|29,095575|39,118847|39,636834|41,329997|29,095575|39,118848|39,636835|41,329997
2|19|151,763628|27,510553|14,342738|13,807873|12,064980|27,510550|14,342736|13,807872|12,064980
2|20|151,763679|27,510544|14,342727|13,807863|12,064970|27,510540|14,342725|13,807862|12,064970
3|1|151,451953|27,510174|14,342352|13,807487|12,064592|27,510196|14,342358|13,807489|12,064592
3|2|151,451151|27,510406|14,342589|13,807724|12,064831|27,510410|14,342588|13,807724|12,064831
3|3|151,450891|27,510507|14,342689|13,807825|12,064931|27,510502|14,342686|13,807823|12,064931
3|4|151,450778|27,510514|14,342697|13,807832|12,064939|27,510510|14,342694|13,807831|12,064939
3|5|151,450698|27,510536|14,342720|13,807856|12,064963|27,510533|14,342718|13,807854|12,064963
3|6|151,450651|27,510539|14,342723|13,807858|12,064965|27,510535|14,342721|13,807857|12,064965
3|7|151,450659|27,510562|14,342748|13,807884|12,064991|27,510559|14,342746|13,807883|12,064991
3|8|151,450658|27,510566|14,342752|13,807887|12,064994|27,510562|14,342750|13,807886|12,064994
3|9|151,450554|27,510558|14,342743|13,807879|12,064986|27,510555|14,342742|13,807878|12,064986
3|10|151,450535|27,510558|14,342744|13,807880|12,064987|27,510555|14,342742|13,807878|12,064987
3|11|151,450533|27,510559|14,342745|13,807880|12,064988|27,510556|14,342743|13,807879|12,064988
3|12|151,450512|27,510562|14,342749|13,807884|12,064991|27,510561|14,342748|13,807884|12,064991
3|13|151,450520|27,510565|14,342751|13,807887|12,064994|27,510563|14,342750|13,807886|12,064994
3|14|151,450503|27,510568|14,342754|13,807890|12,064997|27,510566|14,342753|13,807889|12,064997
3|15|901,065803|29,095577|39,118850|39,636836|41,329999|29,095577|39,118850|39,636836|41,329999
3|16|151,450515|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
3|17|151,450533|27,510565|14,342752|13,807888|12,064995|27,510564|14,342751|13,807887|12,064995
3|18|901,065893|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
3|19|151,451873|27,510532|14,342712|13,807848|12,064954|27,510516|14,342702|13,807840|12,064954
3|20|151,450455|27,510565|14,342751|13,807887|12,064994|27,510563|14,342750|13,807886|12,064994
4|1|151,116392|27,510250|14,342418|13,807553|12,064659|27,510249|14,342417|13,807553|12,064659
4|2|151,115544|27,510435|14,342612|13,807748|12,064854|27,510430|14,342610|13,807747|12,064854
4|3|151,115300|27,510491|14,342672|13,807808|12,064914|27,510486|14,342669|13,807806|12,064914
4|4|151,115157|27,510548|14,342733|13,807868|12,064975|27,510545|14,342731|13,807867|12,064975
4|5|151,115116|27,510544|14,342729|13,807864|12,064971|27,510541|14,342727|13,807863|12,064971
4|6|151,115034|27,510559|14,342745|13,807881|12,064988|27,510557|14,342744|13,807880|12,064988
4|7|151,115043|27,510564|14,342751|13,807886|12,064993|27,510563|14,342750|13,807886|12,064993
4|8|151,114953|27,510561|14,342747|13,807883|12,064990|27,510559|14,342746|13,807882|12,064990
4|9|151,114969|27,510562|14,342748|13,807884|12,064991|27,510560|14,342747|13,807883|12,064991
4|10|151,114958|27,510566|14,342753|13,807888|12,064996|27,510565|14,342752|13,807888|12,064996
4|11|151,114906|27,510560|14,342746|13,807882|12,064989|27,510559|14,342746|13,807882|12,064989
4|12|151,114959|27,510568|14,342755|13,807891|12,064998|27,510568|14,342755|13,807891|12,064998
4|13|151,114922|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807891|12,064999
4|14|151,114944|27,510568|14,342755|13,807891|12,064998|27,510568|14,342755|13,807891|12,064998
4|15|151,114890|27,510567|14,342753|13,807889|12,064996|27,510566|14,342753|13,807889|12,064996
4|16|899,410964|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
4|17|899,410945|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
4|18|899,410551|29,095569|39,118841|39,636827|41,329990|29,095569|39,118841|39,636828|41,329990
4|19|899,411009|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
4|20|899,411014|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
5|1|150,796389|27,510261|14,342431|13,807566|12,064673|27,510260|14,342430|13,807566|12,064673
5|2|150,795490|27,510468|14,342648|13,807784|12,064890|27,510464|14,342646|13,807782|12,064890
5|3|150,795293|27,510528|14,342711|13,807847|12,064954|27,510525|14,342710|13,807846|12,064954
5|4|150,795233|27,510550|14,342735|13,807871|12,064978|27,510548|14,342734|13,807870|12,064978
5|5|150,795094|27,510555|14,342741|13,807876|12,064983|27,510553|14,342740|13,807876|12,064983
5|6|150,795048|27,510558|14,342744|13,807879|12,064986|27,510556|14,342743|13,807879|12,064986
5|7|150,795024|27,510560|14,342746|13,807882|12,064989|27,510559|14,342746|13,807882|12,064989
5|8|150,795005|27,510566|14,342753|13,807888|12,064996|27,510565|14,342752|13,807888|12,064996
5|9|150,795014|27,510568|14,342755|13,807891|12,064998|27,510568|14,342755|13,807890|12,064998
5|10|150,794942|27,510563|14,342749|13,807885|12,064992|27,510562|14,342749|13,807885|12,064992
5|11|150,794956|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
5|12|150,794986|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
5|13|150,794931|27,510567|14,342753|13,807889|12,064996|27,510566|14,342753|13,807889|12,064996
5|14|150,794923|27,510566|14,342752|13,807888|12,064995|27,510565|14,342752|13,807888|12,064995
5|15|150,794999|27,510567|14,342754|13,807889|12,064996|27,510566|14,342753|13,807889|12,064996
5|16|150,794914|27,510569|14,342756|13,807891|12,064999|27,510569|14,342756|13,807891|12,064999
5|17|150,795018|27,510570|14,342757|13,807892|12,064999|27,510570|14,342757|13,807892|12,064999
5|18|897,791051|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
5|19|897,790994|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
5|20|897,790975|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
6|1|150,471920|27,510247|14,342414|13,807550|12,064656|27,510246|14,342414|13,807550|12,064656
6|2|150,471090|27,510444|14,342623|13,807759|12,064865|27,510443|14,342623|13,807758|12,064865
6|3|150,470781|27,510533|14,342718|13,807854|12,064961|27,510532|14,342717|13,807853|12,064961
6|4|150,470649|27,510550|14,342736|13,807872|12,064979|27,510549|14,342736|13,807871|12,064979
6|5|150,470641|27,510559|14,342745|13,807881|12,064988|27,510559|14,342745|13,807881|12,064988
6|6|150,470573|27,510550|14,342736|13,807872|12,064979|27,510550|14,342736|13,807872|12,064979
6|7|150,470505|27,510568|14,342755|13,807890|12,064997|27,510567|14,342754|13,807890|12,064997
6|8|150,470507|27,510567|14,342753|13,807889|12,064996|27,510566|14,342753|13,807889|12,064996
6|9|150,470509|27,510567|14,342754|13,807889|12,064997|27,510567|14,342754|13,807889|12,064997
6|10|150,470453|27,510567|14,342754|13,807890|12,064997|27,510567|14,342754|13,807889|12,064997
6|11|150,470500|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
6|12|150,470481|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
6|13|150,470468|27,510570|14,342757|13,807892|12,065000|27,510570|14,342757|13,807892|12,065000
6|14|150,470420|27,510567|14,342754|13,807890|12,064997|27,510567|14,342754|13,807890|12,064997
6|15|150,470467|27,510566|14,342753|13,807888|12,064995|27,510566|14,342753|13,807888|12,064995
6|16|150,470548|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
6|17|150,470397|27,510569|14,342756|13,807892|12,064999|27,510569|14,342756|13,807892|12,064999
6|18|150,470617|27,510568|14,342755|13,807890|12,064998|27,510568|14,342755|13,807890|12,064998
6|19|896,160942|29,095577|39,118850|39,636837|41,330000|29,095577|39,118850|39,636837|41,330000
