window|hide layer 1|hide layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|1|1,081207|4,559817|1,259359|1,376328|2,489035|6,704047|1,261900|1,428839|2,489035
2|1|2|1,201734|4,590474|1,241807|1,357164|2,564133|6,726082|1,241731|1,376971|2,564133
2|1|3|1,112016|3,757393|1,285394|1,423696|2,398414|6,641048|1,298622|1,546709|2,398414
2|1|4|1,010125|3,502288|1,254941|1,382937|2,511304|6,692448|1,258778|1,447202|2,511304
2|1|5|1,014620|3,130147|1,286802|1,427920|2,376694|6,646819|1,292594|1,566293|2,376694
2|1|6|0,949522|2,488833|1,288878|1,382279|2,032291|6,833918|1,223947|1,516426|2,032291
2|1|7|1,255652|4,084487|1,293140|1,431019|2,363461|6,616089|1,319367|1,572740|2,363461
2|1|8|0,949762|2,630150|1,254009|1,366318|2,357003|6,728347|1,246165|1,465251|2,357003
2|1|9|2,257288|6,618816|1,251115|1,374804|2,640144|6,710060|1,251115|1,374804|2,640144
2|1|10|0,995046|4,525057|1,317422|1,483492|2,563070|6,583077|1,336876|1,582130|2,563070
2|1|11|1,003189|2,526105|1,357227|1,481965|1,875692|6,847723|1,233841|1,682780|1,875692
2|1|12|2,123238|6,497860|1,322199|1,504496|2,822264|6,592513|1,322199|1,504496|2,822264
2|1|13|1,263862|4,863194|1,325888|1,488687|2,547774|6,566622|1,354734|1,598026|2,547774
2|1|14|1,299307|4,800248|1,299026|1,468798|2,688033|6,607694|1,308658|1,517197|2,688033
2|1|15|1,111517|3,883416|1,378773|1,539416|2,265124|6,566053|1,381076|1,707893|2,265124
2|1|16|1,976831|6,631353|1,251463|1,375489|2,640893|6,709335|1,251504|1,375610|2,640893
2|1|17|1,109605|3,333330|1,264362|1,375856|2,255588|6,709441|1,261524|1,512839|2,255588
2|1|18|1,641090|6,583638|1,307333|1,479505|2,788296|6,614177|1,307337|1,479527|2,788296
2|1|19|1,053992|3,325830|1,258350|1,359520|2,216594|6,734435|1,250893|1,492774|2,216594
2|1|20|3,594237|6,681838|1,254657|1,382019|2,650829|6,703097|1,254695|1,382004|2,650829
2|2|1|1,119104|4,673573|1,238172|1,339969|2,451712|6,733673|1,243697|1,390658|2,451712
2|2|2|0,994014|3,080007|1,301776|1,435652|2,192741|6,689092|1,276123|1,621745|2,192741
2|2|3|0,823764|2,199604|1,461164|1,625392|1,668216|6,928345|1,237256|1,994361|1,668216
2|2|4|0,954456|3,744534|1,279593|1,414025|2,413952|6,657762|1,287904|1,520900|2,413952
2|2|5|0,873626|2,545879|1,394820|1,538043|1,792084|6,821962|1,250381|1,797410|1,792084
2|2|6|1,599319|6,160943|1,245793|1,363496|2,613689|6,719936|1,246370|1,367432|2,613689
2|2|7|0,953164|2,276002|1,294288|1,400575|2,006101|6,789380|1,235169|1,638636|2,006101
2|2|8|0,835825|2,081752|1,425319|1,569250|1,658773|6,900694|1,237135|1,903201|1,658773
2|2|9|1,031493|3,048215|1,295444|1,435903|2,286683|6,630172|1,306745|1,614401|2,286683
2|2|10|0,975185|2,734297|1,440322|1,586389|1,620425|6,884164|1,251016|1,860020|1,620425
2|2|11|0,847418|2,184479|1,471016|1,634318|1,587087|6,892334|1,250887|2,049289|1,587087
2|2|12|0,991279|3,362170|1,297155|1,443419|2,374630|6,618053|1,313657|1,592114|2,374630
2|2|13|1,347359|5,880334|1,309912|1,484261|2,788102|6,608675|1,310797|1,488010|2,788102
2|2|14|1,173202|5,493138|1,306126|1,480599|2,742423|6,602934|1,312612|1,508796|2,742423
2|2|15|0,829073|2,304891|1,338915|1,458128|1,849470|6,788471|1,248688|1,744039|1,849470
2|2|16|0,928130|2,832443|1,286571|1,412427|2,210969|6,678568|1,280362|1,589072|2,210969
2|2|17|1,122335|5,145932|1,308119|1,475000|2,613505|6,594852|1,323752|1,553003|2,613505
2|2|18|1,120590|4,178556|1,274506|1,395773|2,344415|6,666003|1,288468|1,513263|2,344415
2|2|19|1,446549|6,178601|1,320136|1,501106|2,817544|6,595405|1,320149|1,501203|2,817544
2|2|20|1,016160|2,950000|1,287901|1,361302|1,890632|6,888813|1,214901|1,522424|1,890632
2|3|1|1,184934|4,292523|1,261670|1,387252|2,470188|6,698600|1,260135|1,455515|2,470188
2|3|2|0,858040|2,327206|1,463436|1,636807|1,709090|6,842744|1,260557|1,946108|1,709090
2|3|3|1,052283|3,120921|1,275299|1,409448|2,378586|6,677530|1,271836|1,539012|2,378586
2|3|4|0,859176|2,348533|1,471081|1,646293|1,691350|6,823208|1,271896|1,949640|1,691350
2|3|5|0,879743|2,676219|1,372511|1,516741|1,943079|6,715796|1,290427|1,724054|1,943079
2|3|6|0,894826|3,229762|1,273274|1,410092|2,430223|6,659341|1,281058|1,527908|2,430223
2|3|7|1,013743|3,172951|1,316881|1,463940|2,240251|6,625922|1,315786|1,648318|2,240251
2|3|8|1,055900|3,048145|1,324986|1,457305|2,013981|6,685495|1,287980|1,707503|2,013981
2|3|9|0,910753|2,738985|1,340452|1,475952|2,082709|6,704672|1,287330|1,626921|2,082709
2|3|10|0,893370|2,472991|1,311122|1,424511|1,997588|6,752127|1,258660|1,614725|1,997588
2|3|11|0,956244|3,770034|1,294745|1,446413|2,463130|6,624964|1,305226|1,563165|2,463130
2|3|12|0,858910|2,404461|1,257895|1,333959|2,069710|6,907394|1,191199|1,584805|2,069710
2|3|13|1,026941|4,069339|1,310694|1,472768|2,509223|6,589343|1,331269|1,589761|2,509223
2|3|14|0,965693|2,556344|1,307178|1,405749|1,922263|6,821470|1,233817|1,593265|1,922263
2|3|15|1,030740|4,454406|1,281022|1,424661|2,427681|6,635895|1,295366|1,557554|2,427681
2|3|16|2,090377|6,329924|1,253653|1,380027|2,647712|6,705051|1,253652|1,380066|2,647712
2|3|17|0,948945|3,027644|1,314101|1,457525|2,212500|6,622199|1,318716|1,654066|2,212500
2|3|18|0,984753|4,096966|1,282738|1,412969|2,281549|6,657092|1,289854|1,576210|2,281549
2|3|19|0,956884|2,816850|1,330836|1,427869|1,795828|6,839172|1,239754|1,613818|1,795828
2|3|20|1,229132|5,907642|1,361105|1,534566|2,682687|6,551219|1,372868|1,606420|2,682687
2|4|1|0,984310|3,063877|1,277889|1,411847|2,362359|6,659619|1,284575|1,547948|2,362359
2|4|2|0,835201|2,338776|1,493094|1,657330|1,533356|6,970186|1,243844|2,075964|1,533356
2|4|3|1,056690|4,489703|1,293767|1,454643|2,650130|6,619941|1,304001|1,505229|2,650130
2|4|4|1,002618|3,707857|1,301552|1,456819|2,473320|6,613554|1,314168|1,573457|2,473320
2|4|5|1,558612|5,633157|1,256457|1,385140|2,639376|6,698691|1,257290|1,391532|2,639376
2|4|6|0,856877|2,715469|1,338723|1,477853|2,032913|6,718701|1,273389|1,697512|2,032913
2|4|7|0,873960|2,736227|1,292484|1,416068|2,141801|6,717162|1,260774|1,625838|2,141801
2|4|8|0,867201|2,240773|1,445025|1,604687|1,657280|6,834491|1,259665|1,956845|1,657280
2|4|9|0,881266|2,419035|1,306211|1,419950|2,023545|6,775945|1,244248|1,612463|2,023545
2|4|10|1,079736|4,350521|1,266936|1,408451|2,593914|6,667973|1,271921|1,454558|2,593914
2|4|11|1,056870|4,557528|1,300096|1,456121|2,534181|6,608737|1,317160|1,551513|2,534181
2|4|12|1,661670|6,137807|1,261582|1,396242|2,668759|6,689460|1,261661|1,397442|2,668759
2|4|13|1,211478|4,940673|1,471502|1,651412|2,167611|6,504101|1,463076|1,834840|2,167611
2|4|14|0,902508|3,549852|1,294443|1,440692|2,375854|6,630597|1,303526|1,587995|2,375854
2|4|15|1,036102|4,508722|1,283126|1,431525|2,582655|6,638846|1,294339|1,493062|2,582655
2|4|16|0,809828|2,120135|1,433303|1,587245|1,675470|6,840545|1,255310|1,914779|1,675470
2|4|17|0,867961|2,559262|1,333275|1,461956|1,965791|6,719922|1,275937|1,687412|1,965791
2|4|18|0,907790|2,058286|1,439353|1,581357|1,579597|6,988202|1,219838|2,070648|1,579597
2|4|19|1,869222|5,871421|1,242287|1,356727|2,613115|6,729672|1,240984|1,355751|2,613115
2|4|20|1,269556|5,424479|1,273080|1,413252|2,608961|6,661690|1,280565|1,450678|2,608961
2|5|1|1,267947|4,809757|1,249030|1,367746|2,527655|6,705795|1,254930|1,409856|2,527655
2|5|2|0,861815|2,500736|1,416119|1,554165|1,683660|6,889174|1,241979|1,799937|1,683660
2|5|3|0,859912|2,622010|1,304826|1,431304|2,108343|6,721123|1,263368|1,633342|2,108343
2|5|4|0,906493|2,723456|1,293005|1,426310|2,230042|6,662674|1,288307|1,611874|2,230042
2|5|5|0,879379|2,576408|1,439094|1,597089|1,702081|6,833026|1,260722|1,874811|1,702081
2|5|6|0,860617|2,159988|1,359808|1,487616|1,833583|6,840796|1,232987|1,796213|1,833583
2|5|7|0,846883|3,164412|1,324013|1,461931|2,106019|6,689330|1,284114|1,661305|2,106019
2|5|8|0,827213|2,855287|1,312158|1,417091|1,949961|6,836839|1,226351|1,619239|1,949961
2|5|9|0,916337|3,186206|1,264995|1,398886|2,441008|6,679252|1,266019|1,512108|2,441008
2|5|10|0,924878|2,547622|1,448671|1,613632|1,691618|6,822009|1,264386|1,940455|1,691618
2|5|11|0,849335|2,096512|1,375255|1,515336|1,844585|6,803985|1,248536|1,806145|1,844585
2|5|12|0,903819|2,936560|1,269526|1,405130|2,399987|6,668717|1,272577|1,546018|2,399987
2|5|13|0,897830|2,937410|1,290881|1,419068|2,192695|6,697808|1,268709|1,612239|2,192695
2|5|14|1,649559|6,046619|1,253353|1,379577|2,644474|6,705389|1,253372|1,380639|2,644474
2|5|15|0,878911|3,022194|1,300193|1,447623|2,340034|6,636093|1,301319|1,606995|2,340034
2|5|16|2,157937|6,236272|1,260350|1,393535|2,667336|6,692259|1,260320|1,393585|2,667336
2|5|17|0,846929|3,207921|1,284765|1,418689|2,285350|6,672329|1,278176|1,591137|2,285350
2|5|18|0,845830|3,174413|1,349527|1,452160|1,747485|6,867776|1,235492|1,653530|1,747485
2|5|19|0,927994|3,788637|1,316876|1,466900|2,316220|6,618330|1,320577|1,621852|2,316220
2|5|20|0,895306|2,719824|1,309848|1,449571|2,181264|6,645688|1,302600|1,656304|2,181264
2|6|1|2,122242|6,357789|1,290053|1,449366|2,746217|6,640818|1,290089|1,449658|2,746217
2|6|2|0,938533|2,606790|1,467040|1,634352|1,647101|6,837462|1,268953|1,918374|1,647101
2|6|3|0,861763|2,280734|1,416801|1,576683|1,823447|6,815099|1,254819|1,841199|1,823447
2|6|4|0,856319|3,089690|1,277980|1,409307|2,317921|6,679243|1,273048|1,560833|2,317921
2|6|5|0,897445|2,669596|1,450206|1,602472|1,584040|6,902503|1,241853|2,017778|1,584040
2|6|6|1,467754|5,812989|1,262343|1,396372|2,656199|6,688189|1,263155|1,402426|2,656199
2|6|7|0,904880|3,084583|1,351584|1,508670|2,182757|6,611855|1,336592|1,692040|2,182757
2|6|8|0,889041|2,949509|1,327984|1,468092|2,098917|6,693081|1,282319|1,673311|2,098917
