indicators|argument|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
sma|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
sma|1|0,908002|3,607306|1,384111|1,624547|2,924640|6,612148|1,310566|1,596351|2,924640
sma|2|0,916865|3,676279|1,307914|1,490442|2,672546|6,681511|1,263232|1,500990|2,672546
sma|3|0,953624|4,231023|1,479436|1,752516|3,222374|6,555644|1,365754|1,803621|3,222374
sma|4|0,936287|3,531035|1,345997|1,563729|2,881283|6,629006|1,287472|1,587220|2,881283
sma|5|0,900809|3,715833|1,321252|1,506510|2,881600|6,638350|1,295346|1,546792|2,881600
sma|6|1,052066|4,020923|1,268338|1,426521|2,717772|6,718042|1,232697|1,439211|2,717772
sma|7|1,078870|5,124917|1,348561|1,546621|2,876372|6,576251|1,337119|1,542978|2,876372
sma|8|0,965747|4,279483|1,410455|1,643670|3,034074|6,537602|1,381096|1,653577|3,034074
sma|9|1,001950|4,015523|1,331367|1,538901|2,737968|6,619124|1,297182|1,589231|2,737968
sma|10|1,071019|4,857754|1,495018|1,804552|2,986974|6,420639|1,564489|1,966590|2,986974
sma|11|0,869829|3,318533|1,315267|1,511667|2,781491|6,651721|1,269933|1,554183|2,781491
sma|12|0,990905|4,213234|1,332483|1,565747|2,829241|6,604803|1,322559|1,671865|2,829241
sma|13|0,955497|4,128481|1,577825|1,987951|3,183040|6,441263|1,741133|2,327100|3,183040
sma|14|0,958572|4,259582|1,426280|1,724108|3,030491|6,551357|1,426020|1,874985|3,030491
sma|15|0,996900|3,663412|2,023988|2,557080|4,211236|6,379176|1,991176|2,865944|4,211236
sma|16|0,974608|4,045271|1,477025|1,826763|3,112065|6,557965|1,535069|2,162384|3,112065
sma|17|0,952177|4,254765|1,602358|2,038178|3,388767|6,514201|1,637063|2,451575|3,388767
sma|18|1,098346|4,546964|1,658757|2,134288|3,488385|6,445517|1,834683|2,671912|3,488385
sma|19|0,899898|3,957802|1,594298|2,010161|3,323628|6,464299|1,577611|2,218846|3,323628
sma|20|0,933583|4,172252|1,539792|1,922152|3,272259|6,441321|1,509095|2,214195|3,272259
sma|21|0,969791|4,140489|1,722110|2,205158|3,504961|6,332277|1,809154|2,669461|3,504961
sma|22|1,096973|4,919029|1,649935|2,080692|3,575731|6,384938|1,554497|2,378569|3,575731
sma|23|0,941578|3,592715|1,424475|1,693838|2,995204|6,548220|1,319629|1,875247|2,995204
