window|hide layer 1|hide layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|1|1|1,625344|7,886528|10,230809|10,988444|12,325850|21,100072|23,750609|19,467728|12,325850
2|1|2|1,067549|9,776666|7,727885|8,664209|9,068831|23,085498|27,805268|24,472430|9,068831
2|1|3|1,207623|14,693854|18,003741|18,809915|19,929612|23,059849|30,463045|29,189616|19,929612
2|1|4|0,730755|11,640296|12,771669|13,552668|13,835980|22,762328|29,377336|27,530793|13,835980
2|1|5|0,921097|11,951219|15,177061|15,865650|16,624024|22,338671|29,312875|27,678572|16,624024
2|1|6|1,026883|11,865605|14,995128|15,704637|16,629479|22,630859|29,154193|27,064287|16,629479
2|1|7|0,802728|11,009126|10,921864|11,796829|12,292722|22,890763|28,728444|26,217403|12,292722
2|1|8|1,062073|6,356277|7,148378|7,827933|8,380740|22,628626|25,418218|20,371417|8,380740
2|1|9|1,023581|16,262461|21,904667|22,567612|23,915011|22,476204|29,997212|28,820846|23,915011
2|1|10|1,027220|15,509545|19,849631|20,641180|21,969863|22,174329|29,656738|28,526259|21,969863
2|1|11|1,020833|10,558454|7,402964|8,343015|8,483989|22,993406|28,382446|25,851292|8,483989
2|1|12|0,899024|16,318371|20,873746|21,664457|23,038227|22,478527|29,894429|28,746002|23,038227
2|1|13|0,997599|10,305789|11,759828|12,577097|13,715180|22,478482|27,474748|23,994872|13,715180
2|1|14|1,149402|7,252944|7,075714|7,823152|8,456298|22,478174|25,711318|20,865637|8,456298
2|1|15|1,113189|10,262870|12,721994|13,477326|14,591634|22,100124|27,395138|24,288842|14,591634
2|1|16|1,042827|8,021914|6,691728|7,484490|7,885250|22,599752|26,708493|22,629053|7,885250
2|1|17|0,965123|10,670126|10,178698|11,096239|11,926359|22,191153|27,737756|25,038260|11,926359
2|1|18|1,279435|9,671283|11,543827|12,286851|13,208199|22,144969|27,476675|24,383377|13,208199
2|1|19|1,050197|12,072934|15,334807|16,043664|16,996534|22,306134|28,975268|27,048818|16,996534
2|1|20|1,191833|7,928823|7,456451|8,240911|8,851263|22,527670|26,499547|22,214683|8,851263
2|2|1|1,225307|9,373522|7,173294|8,091923|9,220325|23,065926|26,353607|21,389703|9,220325
2|2|2|0,807332|4,588127|3,412165|4,036380|4,440548|21,045614|19,945135|15,541963|4,440548
2|2|3|0,828811|5,436545|4,819351|5,481259|6,040023|23,124035|23,480934|16,696691|6,040023
2|2|4|0,814528|9,251434|7,804443|8,622438|8,941253|22,948901|27,916358|24,685471|8,941253
2|2|5|0,767712|6,307798|5,014576|5,714480|6,379854|22,795625|24,496953|18,183400|6,379854
2|2|6|0,772744|6,421993|3,727320|4,441137|4,783043|22,751280|23,999907|18,396265|4,783043
2|2|7|0,748559|6,674031|4,204217|4,908749|5,076315|22,998764|25,569839|20,378133|5,076315
2|2|8|0,814929|7,804466|4,332460|5,114288|5,798339|23,103685|24,794259|18,642110|5,798339
2|2|9|0,765589|7,953468|5,337478|6,128466|6,879815|23,064977|25,735855|20,341010|6,879815
2|2|10|1,069328|9,655283|10,765894|11,570291|12,625094|22,539586|27,647152|24,150221|12,625094
2|2|11|0,770286|7,299100|5,013779|5,751007|6,377085|22,653699|25,352360|19,991084|6,377085
2|2|12|0,882968|11,822109|12,748575|13,659650|14,701456|22,666290|28,343815|25,609505|14,701456
2|2|13|1,260939|8,520654|10,938349|11,575681|12,157092|22,652993|28,540454|25,802647|12,157092
2|2|14|0,893832|12,594865|12,057206|13,069561|14,051005|23,114872|28,909095|26,335770|14,051005
2|2|15|0,849050|10,779027|10,048883|10,991492|11,930223|22,763803|27,885728|24,703194|11,930223
2|2|16|1,013441|11,404048|13,402381|14,219636|15,374190|22,465440|28,487300|25,952862|15,374190
2|2|17|1,017087|8,240862|7,750709|8,489176|8,731614|22,834205|27,681101|24,239852|8,731614
2|2|18|0,794362|11,765475|12,256936|13,182888|14,220012|22,788388|28,275144|25,396715|14,220012
2|2|19|0,835178|9,865409|4,511326|5,208813|6,394533|22,639779|23,943619|15,925802|6,394533
2|2|20|1,672654|20,993105|28,295232|29,038241|30,746937|22,945067|31,724021|31,745079|30,746937
2|3|1|1,052213|12,626005|17,488052|18,164944|19,798278|22,675697|28,130210|25,170763|19,798278
2|3|2|1,272905|6,610358|5,780909|6,480706|7,106752|23,238340|25,000841|18,494312|7,106752
2|3|3|1,054817|8,072414|1,846240|1,846311|0,002111|21,602357|7,367960|15,330768|0,002111
2|3|4|0,883841|19,735762|26,508660|27,252305|29,054102|22,710558|30,861888|30,437644|29,054102
2|3|5|0,807052|6,761616|6,033306|6,823079|7,790988|23,091672|25,310937|19,120158|7,790988
2|3|6|0,752006|8,494032|6,070583|6,896742|7,419794|23,150599|26,418590|21,689832|7,419794
2|3|7|0,755365|5,907838|3,205192|3,873825|4,298270|22,924057|22,497638|15,353036|4,298270
2|3|8|0,861125|13,468003|13,988831|14,902951|15,446678|23,103785|30,011676|28,465047|15,446678
2|3|9|0,980319|8,635819|9,182473|9,944015|10,633196|22,838045|27,188496|23,165771|10,633196
2|3|10|0,753948|8,321915|6,550408|7,365277|7,788279|23,136995|26,760107|22,346965|7,788279
2|3|11|0,765919|6,357980|6,339859|7,050488|7,689835|22,931956|25,034055|19,443750|7,689835
2|3|12|0,760921|5,757014|3,152495|3,835215|4,358562|22,660167|21,586453|14,361056|4,358562
2|3|13|0,759816|6,400760|2,077954|2,627674|3,136711|22,377087|17,783475|10,909586|3,136711
2|3|14|0,947256|10,984867|9,243776|10,197818|10,847249|22,318716|27,906929|25,368075|10,847249
2|3|15|0,721053|5,158925|2,551916|3,149263|3,263266|22,843672|20,979976|13,703759|3,263266
2|3|16|0,824349|10,918922|11,071886|11,987351|13,149570|22,871743|28,015065|24,834187|13,149570
2|3|17|0,732783|6,406911|4,144835|4,839403|4,990319|23,044917|25,368813|19,946391|4,990319
2|3|18|0,801350|4,768285|3,811716|4,442486|5,005109|22,923917|20,903444|13,406351|5,005109
2|3|19|0,760814|11,359315|12,361356|13,217143|14,072952|22,755854|28,797660|26,413275|14,072952
2|3|20|0,931388|7,655691|8,552829|9,241553|10,069844|22,649929|26,438155|21,569116|10,069844
2|4|1|1,083138|11,430173|14,872754|15,581512|16,735973|22,234362|28,039207|25,375241|16,735973
2|4|2|0,809040|11,180545|12,169006|13,060381|14,086850|22,936099|28,720193|26,064925|14,086850
2|4|3|0,828742|12,901984|14,849816|15,767860|16,699028|22,454446|29,054604|27,231112|16,699028
2|4|4|0,782029|6,372040|5,337080|6,061215|6,867907|22,703728|24,022926|17,560206|6,867907
2|4|5|0,778716|5,931287|3,741642|4,412465|4,909849|23,107584|23,467159|16,295084|4,909849
2|4|6|0,817455|10,449648|9,819894|10,756269|11,759408|22,952011|27,709795|24,147639|11,759408
2|4|7|0,919487|7,612101|7,074795|7,821179|8,522077|22,998610|26,449050|21,620177|8,522077
2|4|8|0,750040|6,590094|3,698629|4,405523|4,499328|22,896259|24,938205|19,676651|4,499328
2|4|9|0,809641|10,379122|10,028997|10,938039|11,717828|23,119528|27,961410|24,487167|11,717828
2|4|10|1,094088|8,651251|8,537385|9,239418|9,849246|22,777774|27,127655|22,668035|9,849246
2|4|11|0,742196|6,416129|3,922692|4,634836|5,263734|23,129649|23,445802|16,341479|5,263734
2|4|12|0,780484|6,485389|2,556266|3,202499|3,486830|23,090641|21,602902|14,509671|3,486830
2|4|13|0,756936|5,231750|2,454774|3,069876|3,069117|22,716487|20,944658|14,808295|3,069117
2|4|14|0,767008|6,634065|4,592216|5,333627|5,858233|23,041829|24,560047|18,273715|5,858233
2|4|15|0,763910|7,218684|5,043803|5,772589|6,429191|22,942214|25,458958|19,747898|6,429191
2|4|16|0,739113|5,434372|4,168705|4,830023|5,421178|22,787292|22,852131|15,586956|5,421178
2|4|17|0,849679|7,799288|9,932751|10,634598|11,860300|22,108390|26,010712|21,338844|11,860300
2|4|18|0,744366|4,955261|3,660552|4,302987|4,721790|22,933639|22,210025|15,044292|4,721790
2|4|19|0,837479|10,351723|9,484416|10,444966|11,372429|22,909882|28,213947|25,187236|11,372429
2|4|20|0,959905|10,361969|8,818995|9,827571|10,815728|22,542397|27,119322|23,558477|10,815728
2|5|1|1,217722|7,720177|6,441422|7,183235|7,840740|22,546503|26,329526|21,809218|7,840740
2|5|2|0,836428|15,337001|16,725520|17,818212|19,284077|23,213619|29,940599|28,224525|19,284077
2|5|3|0,777618|7,557065|5,163752|5,945203|6,671805|22,857585|25,201357|19,642747|6,671805
2|5|4|0,814295|11,713709|10,750880|11,776258|12,837893|23,032614|28,380204|25,441139|12,837893
2|5|5|0,748221|6,343428|4,338591|5,046565|5,539986|23,119389|24,397509|17,989747|5,539986
2|5|6|0,924234|9,178492|7,477911|8,396351|9,430376|23,028354|26,494706|21,748050|9,430376
2|5|7|0,873551|7,318308|2,005343|2,567402|2,630254|22,890363|20,786450|15,128054|2,630254
2|5|8|0,885617|7,402477|3,904121|4,643763|5,437474|22,633762|23,497484|17,381218|5,437474
2|5|9|0,767728|6,468005|3,735524|4,437991|4,906470|23,094316|23,905279|17,273505|4,906470
2|5|10|0,798622|8,604787|7,123557|7,918521|8,148125|22,950762|27,606226|24,111745|8,148125
2|5|11|0,706099|6,050002|4,448515|5,129328|5,585872|22,906446|24,173042|17,675772|5,585872
2|5|12|0,750699|6,754117|5,409819|6,136713|6,558009|22,846114|25,515479|20,246133|6,558009
2|5|13|0,828999|6,556353|3,465125|4,168510|4,596215|23,008218|23,642067|17,051276|4,596215
2|5|14|1,042224|8,900791|10,054394|10,837732|11,795165|22,499912|27,022817|23,165655|11,795165
2|5|15|0,987128|7,546481|5,255279|6,005129|6,452964|23,130012|25,780847|20,459190|6,452964
2|5|16|0,761554|5,216253|3,082318|3,727260|3,999057|22,825399|21,861970|15,038395|3,999057
2|5|17|0,733998|5,421823|2,509722|3,115168|3,221668|22,816187|21,128180|13,997962|3,221668
2|5|18|0,832626|7,694325|4,405456|5,204699|5,693874|23,018331|25,192091|19,803566|5,693874
2|5|19|0,962797|12,207465|15,228402|15,974189|17,198054|22,222456|28,503011|26,292994|17,198054
2|5|20|0,753084|8,876861|6,074759|6,929237|7,329967|23,219092|27,107676|23,043971|7,329967
2|6|1|1,176392|10,396611|9,170414|10,137587|11,490823|22,649336|26,851653|22,713415|11,490823
2|6|2|0,771383|7,437795|8,349533|9,085090|9,957981|21,926077|25,577998|21,136074|9,957981
2|6|3|0,863161|5,473310|3,234660|3,907427|4,030886|22,989757|22,895410|16,734838|4,030886
2|6|4|0,874759|10,075140|6,545359|7,527042|8,467634|22,833279|26,486042|22,206408|8,467634
