rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0|0|2.0|86,945772|15,783593|14,113896|14,856911|16,634600|32,008213|30,371628|23,156305|16,634600
0,05|0|2.0|0,734420|2,223443|1,222380|1,196781|2,337934|10,121851|1,179399|1,353435|2,337934
0,1|0|2.0|0,778294|3,172899|1,396687|1,350161|1,922350|20,221235|1,422975|1,046430|1,922350
0,15|0|2.0|0,793407|3,092555|1,431721|1,603943|2,567567|6,806104|1,275613|1,649243|2,567567
0,2|0|2.0|0,843793|3,137699|1,358547|1,479845|2,491365|6,871986|1,246535|1,426676|2,491365
0,25|0|2.0|0,838115|4,320290|1,467135|1,714906|2,783840|6,579990|1,351629|1,788142|2,783840
0,3|0|2.0|1,007824|5,148739|1,227246|1,123275|2,094990|17,191843|1,227380|1,084785|2,094990
0,35|0|2.0|0,891091|4,519067|1,214860|1,281730|2,551203|6,095775|1,179121|1,282595|2,551203
0,4|0|2.0|1,527235|4,948685|1,229695|1,309249|2,486127|6,761245|1,224688|1,320966|2,486127
0,45|0|2.0|1,023989|5,945815|1,245450|1,333638|2,460860|11,443732|1,258081|1,415726|2,460860
0,5|0|2.0|1,297339|5,993166|1,241397|1,340705|2,562835|7,075609|1,227347|1,339228|2,562835
0,55|0|2.0|1,259476|6,115363|1,223699|1,206347|2,152179|8,018616|1,264130|1,341627|2,152179
0,6|0|2.0|1,512429|6,424674|1,267751|1,101034|1,747982|6,384857|1,315364|1,304443|1,747982
0,65|0|2.0|0,945479|4,899767|1,397565|1,550328|2,459340|9,492171|1,307097|1,346480|2,459340
0,7|0|2.0|1,591721|5,984792|1,353846|1,572907|2,756910|6,856930|1,322254|1,537985|2,756910
0,75|0|2.0|1,222288|7,116495|1,402961|1,326328|1,560114|10,666677|1,561587|1,206149|1,560114
0,8|0|2.0|1,004596|6,577776|1,230799|1,269844|2,362262|14,420437|1,203422|1,238736|2,362262
0,85|0|2.0|1,269089|6,403557|1,231241|1,232884|2,230609|8,096560|1,218068|1,215294|2,230609
0,9|0|2.0|1,259278|6,766777|1,297368|1,463418|2,782923|6,636392|1,274566|1,429394|2,782923
0,95|0|2.0|1,586912|6,123394|1,199129|1,249723|2,472963|8,348177|1,193039|1,233848|2,472963
1|0|2.0|1,511938|6,856457|1,910030|1,588484|0,581479|8,086268|1,845460|1,912024|0,581479
1,05|0|2.0|2,127267|5,574496|1,235572|1,343556|2,601620|6,876135|1,233738|1,337812|2,601620
1,1|0|2.0|0,904195|6,333221|1,296681|1,467096|2,798517|10,450585|1,265145|1,420227|2,798517
1,15|0|2.0|1,749360|5,521472|1,195516|1,072619|2,065687|8,366043|1,198237|1,066863|2,065687
1,2|0|2.0|1,930911|6,581882|1,182093|1,154058|2,277632|7,928736|1,179141|1,145750|2,277632
1,25|0|2.0|2,128596|7,229070|1,330399|1,040605|1,528728|11,327457|1,388256|1,141216|1,528728
1,3|0|2.0|1,637989|6,736078|1,205444|1,251878|2,417267|9,365590|1,214196|1,274678|2,417267
1,35|0|2.0|1,679113|7,126855|1,282481|1,435468|2,725731|8,014711|1,282495|1,436154|2,725731
1,4|0|2.0|1,650923|7,214509|1,238949|1,216597|2,072310|8,296663|1,274659|1,305534|2,072310
1,45|0|2.0|1,806934|5,596255|1,187536|1,090971|2,110107|8,407957|1,188570|1,097081|2,110107
1,5|0|2.0|1,612065|6,537267|1,253954|1,380485|2,647533|7,980153|1,254117|1,381080|2,647533
1,55|0|2.0|3,074283|6,397144|1,198277|1,230985|2,393068|8,289227|1,196750|1,232202|2,393068
1,6|0|2.0|4,507204|7,393117|1,205151|1,253051|2,424082|8,371640|1,205650|1,260228|2,424082
1,65|0|2.0|1,376540|5,720977|1,268343|1,411726|2,655824|6,829079|1,250289|1,382731|2,655824
1,7|0|2.0|1,813460|6,024312|1,181710|1,142270|2,242012|6,903350|1,181716|1,142276|2,242012
1,75|0|2.0|3,372087|7,318870|1,595244|1,292892|1,130246|13,324384|1,598977|1,097376|1,130246
1,8|0|2.0|1,618879|6,798962|1,308392|1,484335|2,836940|17,550007|1,276623|1,431340|2,836940
1,85|0|2.0|1,068457|5,846033|1,212031|1,289758|2,532496|6,559288|1,209512|1,279283|2,532496
1,9|0|2.0|1,680322|7,230853|1,276841|1,429344|2,751314|7,099541|1,210857|1,243676|2,751314
1,95|0|2.0|2,098019|6,165388|1,306094|1,477388|2,785505|13,464908|1,306074|1,477333|2,785505
2|0|2.0|1,740173|6,866762|1,235572|1,340109|2,581951|7,934278|1,236471|1,343623|2,581951
2,05|0|2.0|2,657856|7,035387|1,315767|1,493716|2,806158|8,015557|1,316028|1,494768|2,806158
2,1|0|2.0|1,711781|6,189001|1,251457|1,375282|2,639551|7,888438|1,251645|1,375722|2,639551
2,15|0|2.0|1,368398|5,760930|1,196061|1,222823|2,395805|6,870908|1,188700|1,211110|2,395805
2,2|0|2.0|2,242744|5,838504|1,238301|1,348191|2,606063|6,707871|1,238620|1,346928|2,606063
2,25|0|2.0|1,606439|5,398231|1,196328|1,059451|2,038678|6,954110|1,196636|1,057432|2,038678
2,3|0|2.0|2,484023|6,484887|1,288804|1,448819|2,822778|10,599591|1,283225|1,416613|2,822778
2,35|0|2.0|1,784072|7,555394|1,337016|1,345369|1,889038|7,666214|1,395407|1,222835|1,889038
2,4|0|2.0|8,149613|7,666942|1,204055|1,105112|2,044069|8,579623|1,223018|1,166732|2,044069
2,45|0|2.0|1,713015|5,547665|1,224045|1,306906|2,514034|8,507177|1,226898|1,319536|2,514034
0,3|0|2.0|0,867210|4,576637|1,297237|1,148685|1,912957|7,345740|1,318604|1,046770|1,912957
0,3|0,05|2.0|0,873836|3,999156|1,271175|1,125504|1,805103|5,559116|1,318599|1,172299|1,805103
0,3|0,1|2.0|0,961110|4,806548|1,259270|1,135644|1,837470|6,154284|1,317006|1,180770|1,837470
0,3|0,15|2.0|1,040578|5,431256|1,307226|1,381114|2,337731|8,936548|1,239071|1,228541|2,337731
